id,station_name,province,lon,lat,elev (m),RL50 (mm)
5982,PORT DOVER,ON,-80.2167,42.7833,186,107.0007532
5983,PORT STANLEY,ON,-81.2167,42.6667,183,95.18956655
5989,RIDGETOWN,ON,-81.8833,42.45,206,107.5826141
5992,RIDGEVILLE,ON,-79.325,43.0417,236,82.08235893
5996,ST CATHARINES A,ON,-79.1667,43.2,98,70.94461035
6,BEAR CREEK,BC,-124,48.5,350,391.2152746
60,METCHOSIN HAPPY VALLEY,BC,-123.533,48.4167,76,132.9304577
6000,ST CATHARINES POWER GLEN,ON,-79.25,43.1167,122,79.4491366
6002,ST THOMAS,ON,-81.1667,42.7833,236,93.96891217
6003,ST THOMAS WPCP,ON,-81.205,42.7683,209,92.17294888
6004,ST WILLIAMS,ON,-80.45,42.7,213,102.8255566
6006,SIMCOE,ON,-80.2667,42.85,240,104.6834932
6018,TILLSONBURG WWTP,ON,-80.7217,42.8553,213,87.67157937
6027,WALLACEBURG,ON,-82.4,42.5833,177,82.44394918
6032,WATERFORD,ON,-80.2333,42.8833,222,81.83475211
6033,WELLAND,ON,-79.2611,42.9925,175,88.1656466
6037,WINDSOR RIVERSIDE,ON,-82.9333,42.3333,188,125.4239416
6038,WINDSOR A,ON,-82.9556,42.2756,190,94.80159353
6044,WOODSLEE CDA,ON,-82.7333,42.2167,183,105.7231885
6048,POINT PELEE,ON,-82.5167,41.95,177,123.1788043
6056,ARTHUR,ON,-80.5667,43.8167,452,97.21922
6063,BRANTFORD MOE,ON,-80.2333,43.1333,196,81.47393118
6073,CROMARTY,ON,-81.3333,43.4167,328,79.52434016
6074,CULLODEN EASEY,ON,-80.8467,42.8895,280,96.37404734
6077,DORCHESTER,ON,-81.0328,43.002,271,99.35296838
6085,EMBRO INNES,ON,-80.9333,43.25,358,116.287282
6087,FERGUS SHAND DAM,ON,-80.3303,43.7347,418,103.3034004
6088,FERGUS MOE,ON,-80.3789,43.7017,396,82.18705204
6089,FOLDENS,ON,-80.7808,43.0184,328,107.9228693
6091,GLANWORTH CFPL,ON,-81.2,42.8833,280,86.00459462
6092,GLEN ALLAN,ON,-80.7103,43.6839,400,96.23933566
6095,GRAND VALLEY WPCP,ON,-80.3333,43.8833,465,84.99472309
6099,GUELPH ARBORETUM,ON,-80.2167,43.55,328,89.56369645
610,KLEENA KLEENE,BC,-124.933,51.9833,899,44.90306349
6100,GUELPH OAC,ON,-80.2333,43.5167,334,87.84749892
6108,ILDERTON BEAR CREEK,ON,-81.4333,43.05,267,94.57284719
611,KLEENA KLEENE 2,BC,-124.99,51.9778,914,38.24720837
6111,KITCHENER,ON,-80.5,43.4333,343,110.071028
6124,LONDON SHARON DRIVE,ON,-81.2833,43.0333,274,87.08083279
613,LUNCH LAKE,BC,-124.467,51.8244,1017,56.83655052
6132,MONTICELLO,ON,-80.4,43.9667,482,86.28926219
6137,MOUNT FOREST,ON,-80.75,43.9833,414,79.36151152
6145,PRESTON,ON,-80.4167,43.4,291,96.97079815
6146,PRESTON WPCP,ON,-80.35,43.3833,273,95.93122433
6150,REDICKVILLE,ON,-80.2167,44.2333,526,74.25285724
6151,ROSEVILLE,ON,-80.4736,43.3536,328,98.38588404
6152,RUSKVIEW,ON,-80.1333,44.2333,472,79.84610155
6156,SCOTLAND,ON,-80.4278,43.0008,247,95.9642589
6159,STRATFORD WWTP,ON,-81.0047,43.3689,345,96.52482756
6161,STRATHROY,ON,-81.65,42.95,229,87.27245218
6163,TAVISTOCK,ON,-80.8333,43.3167,343,120.7378384
6166,WALDEMAR,ON,-80.2833,43.8833,450,70.21900724
6168,WATERLOO WPCP,ON,-80.5167,43.4833,328,92.25674693
6169,WATERLOO WELLINGTON A,ON,-80.3833,43.45,317,95.61993596
6172,WESTMINSTER TWP WPCP,ON,-81.2167,42.9167,259,91.88622044
6173,WOODSTOCK,ON,-80.7706,43.1361,282,101.5105886
6184,ALDERSHOT,ON,-79.8667,43.3167,145,105.9602222
6192,BELLEVILLE,ON,-77.3947,44.1506,76,85.56813099
6200,BOWMANVILLE MOSTERT,ON,-78.6667,43.9167,99,72.13615007
6204,BRADFORD MUCK RESEARCH,ON,-79.6,44.0333,221,76.19363731
6211,BRAMPTON MOE,ON,-79.7,43.6667,183,89.96475293
6216,BURKETON MCLAUGHLIN,ON,-78.8,44.0333,312,85.27666362
6217,BURLINGTON,ON,-79.8,43.35,105,87.0477194
6222,BURLINGTON TS,ON,-79.8333,43.3333,99,88.11981791
6230,CAMPBELLFORD,ON,-77.8,44.3,146,77.16832332
6236,CENTREVILLE,ON,-76.9078,44.4034,150,78.53711337
6239,CLAREMONT,ON,-79.0667,43.95,175,73.28205953
6244,COBOURG STP,ON,-78.1833,43.9667,79,81.92455446
6248,COLD CREEK,ON,-79.7,43.9167,251,64.91023945
6250,COPETOWN,ON,-80.1167,43.25,229,90.1459215
6252,CRESSY,ON,-76.85,44.1,84,83.34116407
6256,ERINDALE,ON,-79.65,43.5667,140,106.1255756
6257,FRANKFORD MOE,ON,-77.6,44.2333,114,72.38078482
6258,FRENCHMANS BAY,ON,-79.0833,43.8167,76,80.92219646
626,OOTSA L SKINS L SPILLWAY,BC,-125.997,53.7722,861,47.27874838
6262,GEORGETOWN WWTP,ON,-79.8792,43.64,221,82.82307268
6263,GLEN HAFFY MONO MILLS,ON,-79.95,43.9333,434,93.23328434
6273,HAMILTON A,ON,-79.9342,43.1717,238,88.07821882
6276,HAMILTON MUNICIPAL LAB,ON,-79.7667,43.25,76,78.14197683
6277,HAMILTON PSYCH HOSPITAL,ON,-79.9,43.2333,198,102.3375065
6278,HAMILTON RBG,ON,-79.8833,43.2833,102,103.3141554
6284,HEART LAKE,ON,-79.7833,43.7333,259,81.78822351
6293,JANETVILLE,ON,-78.6333,44.2167,297,106.6224786
6298,KING SMOKE TREE,ON,-79.5167,44.0167,352,70.39071704
6300,LAKEVIEW MOE,ON,-79.5667,43.5667,76,71.81490447
6307,MAPLE,ON,-79.4833,43.8667,244,88.02308234
6316,MEYERSBURG,ON,-77.8,44.25,125,94.09400284
6320,MILLGROVE,ON,-79.9667,43.3167,255,94.38556564
6331,OAK RIDGES,ON,-79.4667,43.9667,322,84.47560535
6336,ORANGEVILLE MOE,ON,-80.0864,43.9184,412,79.40067566
6338,ORONO,ON,-78.6167,43.9667,148,80.25786479
6344,OSHAWA WPCP,ON,-78.8333,43.8667,84,80.35589717
635,PUNTCHESAKUT LAKE,BC,-122.955,52.9917,915,45.52258087
6395,PICTON,ON,-77.1333,44.0167,76,86.55532862
6403,PORT HOPE,ON,-78.2833,43.95,81,81.57320743
6411,ROUGE PARK,ON,-79.1333,43.8167,125,91.47589355
6413,SANDHILL,ON,-79.8081,43.8081,270,72.44433948
6416,SHARON,ON,-79.4333,44.1,262,93.48886442
6417,SMITHFIELD CDA,ON,-77.6667,44.0833,119,88.52447743
642,TAHTSA LAKE WEST,BC,-127.7,53.6167,863,152.5357858
6427,STIRLING,ON,-77.6333,44.3167,139,82.96017002
6431,STOUFFVILLE,ON,-79.2667,44,312,71.09912085
6433,STOUFFVILLE WPCP,ON,-79.25,43.9667,267,81.48996953
6435,THORNHILL GRANDVIEW,ON,-79.4167,43.8,199,86.78140831
6436,TORONTO,ON,-79.4,43.6667,112,81.76522242
6441,TORONTO ASHBRIDGES BAY,ON,-79.3167,43.6667,74,80.40549772
6468,TORONTO FALLINGBROOK,ON,-79.2667,43.6833,130,100.2123373
647,TATLAYOKO LAKE,BC,-124.405,51.6747,870,64.55879807
6479,TORONTO ISLAND A,ON,-79.395,43.6286,76,78.18772389
6482,TORONTO ISLINGTON,ON,-79.55,43.65,133,92.87359687
6498,TORONTO NORTHCLIFFE,ON,-79.45,43.6833,168,73.71502285
6500,TORONTO OLD WESTON RD,ON,-79.4667,43.65,122,77.24149236
6507,TORONTO SUNNYBROOK,ON,-79.3833,43.7167,157,75.45874934
651,WISTARIA,BC,-126.214,53.825,863,43.07312216
6520,TRENTON A,ON,-77.5333,44.1167,86,88.75696481
6522,TRENTON ONT HYDRO,ON,-77.6,44.1333,88,76.16465298
6526,TWEED,ON,-77.2833,44.5,145,88.54078643
6528,TYRONE,ON,-78.7333,44.0167,206,85.0055766
653,ALEZA LAKE,BC,-122.067,54.1167,625,55.01619817
6533,UXBRIDGE 2,ON,-79.1,44.1167,270,85.85809269
6535,VALENS,ON,-80.1333,43.3833,282,78.43235956
6548,MOUNTAINVIEW,ON,-77.3017,44.052,108,88.81251605
655,BARKERVILLE,BC,-121.515,53.0692,1283,47.01877152
6551,TORONTO BUTTONVILLE A,ON,-79.37,43.8622,198,92.30855289
6555,OAKVILLE SOUTHEAST WPCP,ON,-79.6333,43.4833,87,98.81251556
6558,TORONTO NORTH YORK,ON,-79.4678,43.78,187,92.53792079
6562,BANCROFT,ON,-77.85,45.05,327,81.70414212
6571,FENELON FALLS,ON,-78.7333,44.5333,259,96.08987757
6575,HALIBURTON A,ON,-78.5833,45,320,86.65891096
6577,HALIBURTON 3,ON,-78.5311,45.0322,330,78.11682629
6587,LORNEVILLE,ON,-78.95,44.4833,274,69.97713184
6588,MINDEN,ON,-78.7167,44.9333,274,82.93163986
6595,PETERBOROUGH,ON,-78.3167,44.2833,194,88.97788278
6596,PETERBOROUGH A,ON,-78.3667,44.2333,191,80.8422971
6599,PETERBOROUGH DOBBIN TS,ON,-78.4,44.3167,244,82.3171872
660,BURNS LAKE,BC,-125.767,54.2333,704,45.18486182
6601,PETERBOROUGH STP,ON,-78.3167,44.2833,192,83.62952116
6603,PETERBOROUGH TRENT U,ON,-78.3,44.3667,198,75.15898513
6622,BERTHIERVILLE,QC,-73.1833,46.05,12,94.41144297
6627,CHARLESBOURG PARC ORLEAN,QC,-71.2667,46.8667,114,84.52655694
6628,CHUTE PANET,QC,-71.8667,46.8667,152,71.48809884
6631,COTEAU DU LAC,QC,-74.1667,45.3167,49,91.96628889
6634,DESCHAMBAULT,QC,-71.9167,46.6667,15,101.6728981
6638,DONNACONA 2,QC,-71.7333,46.6833,46,84.66780097
6639,DUBERGER,QC,-71.3,46.8167,15,82.53754246
6640,DUCHESNAY,QC,-71.65,46.8667,166,89.44272343
6641,HEROUXVILLE,QC,-72.6,46.6667,145,84.1879148
6653,LAVALTRIE CDA,QC,-73.3167,45.9333,30,83.11535843
6654,LES CEDRES,QC,-74.05,45.3,47,87.56494707
6658,LOUISEVILLE,QC,-73.0167,46.2667,45,91.9069919
6659,MASCOUCHE,QC,-73.6,45.75,15,93.51546069
6662,NOTRE DAME DE LA MERCI,QC,-74.05,46.2333,366,131.157947
6663,OKA,QC,-74.0667,45.5,91,88.23518276
6667,QUEBEC/JEAN LESAGE INTL A,QC,-71.3833,46.8,74,82.23857956
6669,RIGAUD,QC,-74.3667,45.5,46,93.09430241
6672,RIVIERE A PIERRE,QC,-72.1667,47,221,82.20612425
6673,RIVIERE VERTE OUEST,QC,-71.8333,46.9833,213,89.82272517
6674,ST ALBAN,QC,-72.0833,46.7167,76,97.67461043
6675,ST ALEXIS DES MONTS,QC,-73.15,46.5333,183,88.77517975
6676,STE ANNE DE LA PERADE,QC,-72.2333,46.5833,16,92.58595763
6677,ST AUGUSTIN,QC,-71.5,46.7333,58,84.12986666
6678,STE BEATRIX,QC,-73.6,46.2,198,101.8522097
6680,STE CATHERINE,QC,-71.6167,46.85,152,84.55520716
6681,ST CHARLES DE MANDEVILLE,QC,-73.35,46.35,168,81.30598476
6683,STE CHRISTINE,QC,-71.9167,46.8167,152,85.5314088
6685,ST COME,QC,-73.75,46.2833,244,91.41434184
6686,ST DONAT,QC,-74.2,46.3167,389,81.36121186
6690,ST GABRIEL DE BRANDON,QC,-73.3833,46.3,198,117.6155443
6691,ST JACQUES,QC,-73.5833,45.95,69,93.84533037
6692,ST JANVIER,QC,-73.8833,45.7333,61,85.1790033
6693,ST JOSEPH DE MEKINAC,QC,-72.6833,46.9167,122,70.21584531
6694,ST JUSTIN,QC,-73.1,46.2667,46,82.6926466
6695,ST LAZARE,QC,-74.2,45.4,99,101.0126248
6697,ST LIN DES LAURENTIDES,QC,-73.75,45.85,64,83.58028935
6699,ST NARCISSE,QC,-72.4333,46.5333,46,80.45943835
6700,ST PAULIN,QC,-73.0167,46.4167,167,95.41267195
6703,STE THERESE OUEST,QC,-73.8833,45.65,61,84.30876874
6705,ST TITE,QC,-72.5667,46.7333,142,84.08090366
6708,STE FOY (PIE XII),QC,-71.3167,46.7833,79,92.27015005
6709,SHAWINIGAN,QC,-72.75,46.5667,122,85.60546534
671,DOME CREEK,BC,-120.983,53.7333,648,54.71003897
6720,VALCARTIER FES,QC,-71.5,46.95,184,78.7373039
6729,LAC AUX SABLES,QC,-72.4,46.8667,160,90.50621078
6735,ABERCORN,QC,-72.6667,45.0333,149,88.11086732
6737,ARTHABASKA,QC,-71.95,46.0167,140,95.27266851
6738,ASBESTOS,QC,-71.95,45.7667,229,82.2967536
6740,AUTEUIL,QC,-73.7333,45.65,53,90.48814026
6741,BEAUCEVILLE,QC,-70.7667,46.2,160,90.50018531
6744,BEAUSEJOUR,QC,-71.1667,46.6667,107,91.77134136
6745,BECANCOUR,QC,-72.4333,46.3333,15,111.705967
6747,BISHOPTON,QC,-71.5667,45.5833,213,84.55685458
6750,BONSECOURS,QC,-72.2667,45.4,297,92.39844061
6753,BROME,QC,-72.5667,45.1833,206,97.9061981
6755,BROMPTONVILLE,QC,-71.95,45.4833,130,92.61312861
6760,BURY,QC,-71.4833,45.5167,378,82.83187884
6762,CHARTIERVILLE,QC,-71.2,45.2833,518,74.561137
6763,CHUTE HEMMINGS,QC,-72.45,45.8667,87,92.29940414
6765,COATICOOK,QC,-71.8,45.15,259,98.46198362
6771,DANVILLE,QC,-71.9833,45.8167,190,103.7158891
6772,DISRAELI,QC,-71.3167,45.9167,350,87.56150775
6774,DRUMMONDVILLE,QC,-72.4833,45.8833,82,94.16838672
6778,EAST ANGUS,QC,-71.6667,45.4833,189,90.36378557
678,FORT FRASER 13S,BC,-124.583,53.8833,701,39.04596903
6782,EAST HEREFORD,QC,-71.5,45.0833,358,78.41636427
6784,FARNHAM,QC,-72.9,45.3,68,100.0318711
6786,FLEURY,QC,-73,45.8,30,91.46421192
6787,FORTIERVILLE,QC,-72.05,46.4833,53,95.48443536
679,FORT ST JAMES,BC,-124.286,54.4553,691,46.40531862
6792,GARTHBY,QC,-71.3833,45.8333,251,90.81457926
6794,GEORGEVILLE,QC,-72.2333,45.1333,267,95.51712772
6795,GRANBY,QC,-72.7167,45.3833,175,89.75931555
68,NORTH COWICHAN,BC,-123.718,48.8242,46,104.4420356
6800,HEMMINGFORD FOUR WINDS,QC,-73.7167,45.0667,61,81.36827597
6802,HUNTINGDON,QC,-74.1667,45.05,49,96.19073568
6804,IBERVILLE,QC,-73.25,45.3333,30,89.95185408
6814,LAC MEGANTIC 2,QC,-70.8667,45.6,426,94.45893092
6817,LAMBTON,QC,-71.0833,45.8333,366,98.19672174
6818,LA PATRIE,QC,-71.25,45.4,381,85.23032211
6819,LAPRAIRIE,QC,-73.4333,45.3833,30,78.55357817
6822,LAURIERVILLE,QC,-71.6667,46.3333,152,102.2522636
6823,LAUZON,QC,-71.1,46.8167,69,95.671368
6826,LENNOXVILLE,QC,-71.8236,45.3689,181,71.38901998
6827,LINGWICK,QC,-71.3667,45.6333,267,97.66130674
6829,MAGOG,QC,-72.1167,45.2667,274,73.29103089
6833,MARIEVILLE,QC,-73.1333,45.4,38,105.5352863
6839,MILAN,QC,-71.1167,45.5833,482,94.70800086
684,HIXON,BC,-122.699,53.5314,551,40.57887377
6845,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,QC,-73.75,45.4667,36,86.71225371
6848,MONTREAL JAR BOT,QC,-73.55,45.5667,46,90.67952754
6856,NICOLET,QC,-72.6167,46.2,30,81.46485484
6859,NOTRE DAME DES BOIS,QC,-71.0833,45.4,503,83.73233848
6860,ORMSTOWN,QC,-74.05,45.1167,46,100.3552258
6861,PHILIPSBURG,QC,-73.0833,45.0333,53,81.82368969
6863,PIERREVILLE,QC,-72.8333,46.0833,15,103.3476906
6865,POINTE DU MOULIN,QC,-73.9167,45.35,38,87.14877427
6867,PRINCEVILLE,QC,-71.9167,46.15,160,97.1573844
6869,RICHMOND,QC,-72.1333,45.6333,123,86.75327327
6870,RIVIERE DES PRAIRIES,QC,-73.5,45.7,9,81.88177549
6871,ROUGEMONT,QC,-73.1,45.4333,40,99.95709044
6875,SABREVOIS,QC,-73.2,45.2167,38,100.7296341
6877,SACRE COEUR DE MARIE,QC,-71.1667,46.1333,468,120.6148365
6879,ST AMABLE,QC,-73.3,45.6667,41,96.55221632
688,HORSEFLY LAKE GRUHS LAKE,BC,-121.364,52.3625,777,47.8053038
6880,ST ANICET,QC,-74.35,45.1333,53,90.67132883
6883,ST BENOIT LABRE,QC,-70.8,46.05,305,113.7358138
6884,ST BERNARD DE LACOLLE,QC,-73.3833,45.0833,49,119.7126567
6889,STE CLOTHILDE CDA,QC,-73.6833,45.1667,56,71.73830846
6892,ST COME DE LINIERE,QC,-70.5167,46.05,244,80.78639127
6896,STE DOROTHEE,QC,-73.7833,45.5167,23,91.75058747
6897,STE EDWIDGE,QC,-71.6833,45.2,381,81.37713672
6898,ST EPHREM,QC,-70.9667,46.0667,312,98.12370996
6899,ST FERDINAND,QC,-71.5833,46.1,297,86.64234846
6900,ST FLAVIEN,QC,-71.5667,46.4833,137,88.99942706
6902,ST FORTUNAT,QC,-71.6,45.9667,465,85.14552664
6903,STE FRANCOISE ROMAINE,QC,-71.9333,46.4833,91,96.16615908
6904,ST GEDEON,QC,-70.6167,45.8667,282,70.25784763
6905,STE GENEVIEVE,QC,-73.85,45.5,23,90.26921552
6906,ST GEORGES,QC,-70.7,46.15,168,103.8440298
6907,ST GUILLAUME,QC,-72.7667,45.8833,44,96.40145178
6910,ST HILAIRE DORSET,QC,-70.8667,45.8667,506,105.0145413
6911,MONTREAL/ST-HUBERT A,QC,-73.4167,45.5167,27,94.11840368
6914,ST HYACINTHE,QC,-72.95,45.6333,31,79.74997341
6915,ST HYACINTHE 2,QC,-72.9167,45.5667,33,93.87996371
6922,ST LAURENT (COLLEGE),QC,-73.6667,45.5167,38,94.06771387
6925,ST LUDGER,QC,-70.6833,45.75,335,82.15897254
6926,STE MADELEINE,QC,-73.1333,45.6167,30,96.09206028
6927,ST MALO D AUCKLAND,QC,-71.5,45.2,564,97.35757275
6928,STE MARTINE,QC,-73.85,45.2167,38,81.01992122
6929,ST MATHIEU LAPRAIRIE,QC,-73.5333,45.35,30,77.5280429
693,KERSLEY,BC,-122.367,52.8167,671,40.39704073
6931,ST NAZAIRE,QC,-72.6167,45.7333,69,91.25078398
6932,ST ODILON,QC,-70.65,46.35,358,78.4948512
6934,ST PIERRE DE BROUGHTON,QC,-71.2167,46.25,366,93.60250466
6935,ST PROSPER,QC,-70.5,46.2167,282,86.76175493
6936,ST REMI,QC,-73.6,45.2833,53,82.18946004
694,KERSLEY 2,BC,-122.413,52.8144,570,41.51313384
6940,ST SEBASTIEN,QC,-70.95,45.7667,442,92.82379939
6942,ST SEVERIN,QC,-71.05,46.3333,442,101.035101
6945,ST THEOPHILE,QC,-70.4833,45.9333,395,82.71449126
6946,ST VALERIEN,QC,-72.6667,45.5667,91,108.0991265
6948,ST WENCESLAS,QC,-72.3333,46.1667,84,78.1430748
6949,ST ZACHARIE,QC,-70.3833,46.1167,480,77.82940382
6951,SAWYERVILLE,QC,-71.5667,45.3333,276,74.29282179
6952,SAWYERVILLE NORD,QC,-71.5333,45.3667,346,85.27480413
