history_id,station_name,province,lon,lat,elev (m),annual_pr (mm)
465,ETHELDA BAY,BC,-129.683,53.05,10,3283
466,FALLS RIVER,BC,-129.733,53.9833,18,3683
469,GREEN ISLAND,BC,-130.708,54.5686,12,2322
474,IVORY ISLAND,BC,-128.407,52.2697,10,2748
475,KEMANO,BC,-127.943,53.5631,66,1951
476,KILDALA,BC,-128.483,53.8333,31,2150
481,KITIMAT TOWNSITE,BC,-128.634,54.0536,98,2236
482,KITIMAT 2,BC,-128.705,54.0097,17,2719
489,MCINNES ISLAND,BC,-128.719,52.2617,26,2712
494,OCEAN FALLS,BC,-127.683,52.35,5,4317
500,PRINCE RUPERT A,BC,-130.445,54.2925,35,2578
504,PRINCE RUPERT MONT CIRC,BC,-130.29,54.3203,60,3205
505,PRINCE RUPERT R PARK,BC,-130.333,54.3,91,3038
506,PRINCE RUPERT SHAWATLANS,BC,-130.25,54.3333,11,2983
517,STEWART A,BC,-129.985,55.9361,7,1854
520,STUIE TWEEDSMUIR LODGE,BC,-126.067,52.3681,162,800
522,TERRACE A,BC,-128.577,54.4664,217,1328
523,TERRACE PCC,BC,-128.625,54.5019,67,1142
541,BABINE LAKE PINKUT CREEK,BC,-125.46,54.4464,713,492
546,EQUITY SILVER,BC,-126.277,54.1986,1280,688
554,HOUSTON,BC,-126.668,54.3964,610,422
568,NASS CAMP,BC,-129.03,55.2375,195,1064
571,QUICK,BC,-126.9,54.6167,533,467
575,SMITHERS A,BC,-127.183,54.8247,522,509
584,TOPLEY LANDING,BC,-126.163,54.8158,722,541
587,SUSKWA VALLEY,BC,-127.171,55.2886,534,764
595,BIG CREEK,BC,-123.073,51.6672,1175,336
611,KLEENA KLEENE 2,BC,-124.99,51.9778,914,319
613,LUNCH LAKE,BC,-124.467,51.8244,1017,362
626,OOTSA L SKINS L SPILLWAY,BC,-125.997,53.7722,861,426
635,PUNTCHESAKUT LAKE,BC,-122.955,52.9917,915,511
642,TAHTSA LAKE WEST,BC,-127.7,53.6167,863,2025
647,TATLAYOKO LAKE,BC,-124.405,51.6747,870,430
651,WISTARIA,BC,-126.214,53.825,863,434
655,BARKERVILLE,BC,-121.515,53.0692,1283,1044
679,FORT ST JAMES,BC,-124.286,54.4553,691,470
684,HIXON,BC,-122.699,53.5314,551,645
688,HORSEFLY LAKE GRUHS LAKE,BC,-121.364,52.3625,777,587
693,KERSLEY,BC,-122.367,52.8167,671,513
708,MCLEESE LAKE FRASERVIEW,BC,-122.374,52.3797,564,410
