history_id,station_name,province,lon,lat,elev (m),TJul2.5 (degC)
8395,ST ANTHONY,NL,-56.1,51.3833,29,23.5
8423,STEPHENVILLE A,NL,-58.55,48.5333,25,23.2
8430,TERRA NOVA NAT PARK CS,NL,-53.9744,48.5569,107,27.7
8444,TWILLINGATE (AUT),NL,-54.8,49.6833,92,24.8
8454,WINTERLAND,NL,-55.3275,47.1364,29,23.3
8460,POOLS ISLAND,NL,-53.5811,49.1122,19,23.9
8497,NAIN,NL,-61.6833,56.55,8,21.4
8767,VICTORIA INT'L A,BC,-123.426,48.6472,20,26
8769,VANCOUVER INT'L A,BC,-123.182,49.195,4,24.8
8773,LUTSELK'E CS,NT,-110.69,62.4156,179,25.5775
8775,CALGARY INT'L A,AB,-114.02,51.1139,1084,28.2
8785,SASKATOON DIEFENBAKER INT'L A,SK,-106.717,52.1667,504,29.5575
8786,WINNIPEG RICHARDSON INT'L A,MB,-97.2333,49.9167,239,29.7
8789,OTTAWA MACDONALD-CARTIER INT'L A,ON,-75.6692,45.3225,114,30
8795,TORONTO LESTER B. PEARSON INT'L A,ON,-79.6306,43.6772,173,31.1
8799,L'ASSOMPTION,QC,-73.4347,45.8094,21,29.7
8800,L'ETAPE,QC,-71.2289,47.5622,791,23.7
8805,L'ACADIE,QC,-73.3494,45.2939,44,29.4
8807,MONTREAL/MIRABEL INT'L A,QC,-74.0333,45.6667,83,28.9
8810,CAP-D'ESPOIR,QC,-64.3169,48.4194,15,20.8
8816,VAL-D'OR A,QC,-77.7867,48.0564,337,28.1
8821,HALIFAX STANFIELD INT'L A,NS,-63.5,44.88,145,27.1
8842,ST JOHN'S A,NL,-52.7428,47.6222,141,24.7
628629,PEMBERTON AIRPORT CS COMPOSITE,BC,-122.736,50.3039,204,33.5
737738,QUESNEL A COMPOSITE,BC,-122.508,53.0264,545,29.2
11161122,LYTTON COMPOSITE,BC,-121.582,50.2244,225,35.2325
14611470,KAMLOOPS A COMPOSITE,BC,-120.442,50.7022,345,33.9
16851717,DEASE LAKE (AUT) COMPOSITE,BC,-130.0285,58.42415,797,23.9
18871890,WATSON LAKE A COMPOSITE,YT,-128.827,60.11615,685,25.5
19511952,FORT SIMPSON A COMPOSITE,NT,-121.237,61.7603,169,27.8
19591961,FORT SMITH A COMPOSITE,NT,-111.9455,60.0232,204,27.7
19681970,HAY RIVER A COMPOSITE,NT,-115.78,60.8393,164,26.5
19791982,INUVIK A COMPOSITE,NT,-133.5,68.31045,85,25.7
19942000,NORMAN WELLS A COMPOSITE,NT,-126.7765,65.285,83,27.2
20802082,KUGLUKTUK A COMPOSITE,NU,-115.1395,67.81695,23,22.6
21632165,CAMBRIDGE BAY A COMPOSITE,NU,-105.138,69.1081,25,17.2
21692170,CAPE DORSET CLIMATE COMPOSITE,NU,-76.5277,64.23055,49,16.3
21792181,CLYDE A COMPOSITE,NU,-68.5167,70.4847,27,13.7
22042207,HALL BEACH A COMPOSITE,NU,-81.24305,68.77595,9,14.4
22632264,RESOLUTE CARS COMPOSITE,NU,-94.97625,74.71635,49,12.1
23838774,EDMONTON INTERNATIONAL CS COMPOSITE,AB,-113.5945,53.3117,719,26.8
29552958,MEDICINE HAT A COMPOSITE,AB,-110.719,50.022,716,32.2
33363338,FORT MCMURRAY A COMPOSITE,AB,-111.215,56.65055,369,28.2
34753476,WHITECOURT COMPOSITE,AB,-115.7855,54.1418,784,26.6
38843885,MOOSE JAW A COMPOSITE,SK,-105.5525,50.3325,577,31.2
39378784,REGINA RCS COMPOSITE,SK,-104.667,50.4333,577,30.5
39853998,WYNYARD (AUT) COMPOSITE,SK,-104.2,51.7667,560,28.1
42004202,NORTH BATTLEFORD A COMPOSITE,SK,-108.256,52.7719,548,28.6
43684369,LA RONGE RCS COMPOSITE,SK,-105.2685,55.1482,379,27.2
45314534,PORTAGE SOUTHPORT A COMPOSITE,MB,-98.2754,49.90155,271,29.7
48434844,DAUPHIN A COMPOSITE,MB,-100.0535,51.1002,305,29.3
49474950,THE PAS A COMPOSITE,MB,-101.1,53.9667,272,27.8
49574962,CHURCHILL A COMPOSITE,MB,-94.06655,58.73625,29,25.3
49684970,GILLAM COMPOSITE,MB,-94.7074,56.3582,145,27
50345035,BIG TROUT LAKE COMPOSITE,ON,-89.88115,53.82445,223,26.1
52245228,THUNDER BAY A COMPOSITE,ON,-89.3272,48.3694,199,28.4
53595362,KAPUSKASING A COMPOSITE,ON,-82.45555,49.41015,222,28.3
53765378,MOOSONEE RCS COMPOSITE,ON,-80.6128,51.29155,9,28.2
61218792,LONDON CS COMPOSITE,ON,-81.15055,43.0332,278,29.7
64396479,TORONTO ISLAND A COMPOSITE,ON,-79.39555,43.62805,77,28.6
66676734,QUEBEC/JEAN LESAGE INTL A COMPOSITE,QC,-71.3825,46.8018,67,28.4
68456996,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A COMPOSITE,QC,-73.74585,45.46725,34,29.4
69116913,MONTREAL/ST-HUBERT A COMPOSITE,QC,-73.4168,45.5171,27,30
71777180,SEPT-ILES A COMPOSITE,QC,-66.25835,50.2167,54,22.2
75967597,INUKJUAK UA COMPOSITE,QC,-78.0801,58.4693,25,21
76817682,CHARLO A COMPOSITE,NB,-66.33375,47.98665,41,27.5
76847686,MIRAMICHI A COMPOSITE,NB,-65.4664,47.00945,33,29.4
77077708,FREDERICTON A COMPOSITE,NB,-66.53255,45.8705,21,29.3
78217859,ST LEONARD A COMPOSITE,NB,-67.8319,47.1578,244,27.7
80958098,SHEARWATER A COMPOSITE,NS,-63.51165,44.63055,25,25
81228124,SYDNEY A COMPOSITE,NS,-60.0449,46.165,62,27.1
82098212,SUMMERSIDE A COMPOSITE,PE,-63.8349,46.44,16,26.1
82378238,BONAVISTA COMPOSITE,NL,-53.1142,48.6672,26,23.7
82478249,BURGEO COMPOSITE,NL,-57.6167,47.6167,11,19.1
83068832,GANDER INT'L A COMPOSITE,NL,-54.5719,48.94625,151,26.2
84828484,CHURCHILL FALLS A COMPOSITE,NL,-64.09695,53.5539,440,24.4
2.38124E+11,EDMONTON CITY CENTRE A COMPOSITE,AB,-113.518,53.57276667,671,27.8
3.31633E+11,EDSON A COMPOSITE,AB,-116.467,53.5862,927,26.5
4.78748E+11,GIMLI COMPOSITE,MB,-97.0389,50.6333,228,28
