history_id,station_name,province,lon,lat,elevation (m),Tmean,Tmin (degC),Tmax (degC),HDD (degC-day)
541,BABINE LAKE PINKUT CREEK,BC,-125.46,54.4464,713,4,-24,21,5178
550,HAZELTON TEMLEHAN,BC,-127.733,55.2,122,5,-29,21,4853
572,ROSSWOOD,BC,-128.8,54.85,183,6,-20,22,4278
575,SMITHERS A,BC,-127.183,54.8247,522,4,-24,21,5035
584,TOPLEY LANDING,BC,-126.163,54.8158,722,3,-26,21,5288
611,KLEENA KLEENE 2,BC,-124.99,51.9778,914,3,-29,20,5448
626,OOTSA L SKINS L SPILLWAY,BC,-125.997,53.7722,861,3,-24,19,5328
629,PEMBERTON AIRPORT CS,BC,-122.734,50.3056,204,9,-13,23,3627
642,TAHTSA LAKE WEST,BC,-127.7,53.6167,863,3,-22,18,5525
643,TAKYSIE LAKE,BC,-125.87,53.8725,884,2,-28,19,5882
647,TATLAYOKO LAKE,BC,-124.405,51.6747,870,4,-27,20,5086
655,BARKERVILLE,BC,-121.515,53.0692,1283,2,-26,19,5722
662,BURNS LAKE DECKER LAKE,BC,-125.959,54.3832,713,2,-30,17,5781
664,CAMILLE LAKE,BC,-121.967,52.4167,857,4,-31,21,5213
667,CRESCENT SPUR,BC,-120.7,53.6,686,6,-25,21,4647
672,DUNSTER,BC,-119.85,53.1333,725,4,-30,20,4908
678,FORT FRASER 13S,BC,-124.583,53.8833,701,3,-32,21,5433
679,FORT ST JAMES,BC,-124.286,54.4553,691,4,-30,21,5312
680,FORT ST JAMES A,BC,-124.25,54.4167,716,3,-30,20,5477
684,HIXON,BC,-122.699,53.5314,551,5,-29,22,4679
699,LIKELY,BC,-121.533,52.6,724,5,-26,21,4866
703,MCBRIDE ELDER CREEK,BC,-120.353,53.4234,733,5,-25,21,4665
705,MCBRIDE NORTH,BC,-120.25,53.3667,771,5,-26,22,4939
711,MOUNT ROBSON RANCH,BC,-119.233,53.0167,869,4,-28,21,5332
724,PRINCE GEORGE A,BC,-122.679,53.8908,691,4,-29,22,5042
728,PRINCE GEORGE 15NW,BC,-122.736,54.0531,762,4,-29,22,5315
731,PRINCE GEORGE STP,BC,-122.767,53.88,579,5,-27,21,4704
737,QUESNEL A,BC,-122.51,53.0261,545,5,-27,23,4645
747,SPOKIN LAKE 4E,BC,-121.686,52.1836,1033,3,-28,20,5462
752,TWAN CREEK,BC,-122.617,52.4664,914,3,-30,21,5470
759,WILLIAMS LAKE A,BC,-122.054,52.1831,940,4,-27,22,4979
763,WILLIAMS LAKE RIVER,BC,-122.149,52.1281,585,6,-27,24,4320
767,VANDERHOOF,BC,-124.017,54.0333,638,4,-32,20,5049
772,FRASER LAKE NORTH SHORE,BC,-124.847,54.0783,674,4,-30,22,5238
779,WINEGLASS RANCH,BC,-122.65,51.85,488,6,-28,25,4351
782,ABBOTSFORD A,BC,-122.36,49.0253,59,10,-7,24,2850
789,AGASSIZ CDA,BC,-121.76,49.2431,15,11,-10,26,2841
804,BUNTZEN BAY,BC,-122.863,49.3847,10,11,-3,23,2784
