history_id,station_name,province,lon,lat,elev (m),TJan2.5 (degC),TJan1.0 (degC)
22632264,RESOLUTE CARS COMPOSITE,NU,-94.97625,74.71635,49,-42,-43.3
2254,POND INLET CLIMATE,NU,-77.9575,72.6933,65,-40.1,-41.112
2297,SACHS HARBOUR CLIMATE,NT,-125.254,71.9925,88,-38,-40.1
2293,HOLMAN CS,NT,-117.8,70.7614,30,-37.4,-38.6
1912,CAPE PARRY A,NT,-124.717,70.1667,87,-36.6,-38.255
2031,TUKTOYAKTUK,NT,-133.017,69.4333,5,-38.2,-39.5
2004,PAULATUK,NT,-124.083,69.3578,6,-35.9,-36.9
21632165,CAMBRIDGE BAY A COMPOSITE,NU,-105.138,69.1081,25,-43,-45
22042207,HALL BEACH A COMPOSITE,NU,-81.24305,68.77595,9,-43.2,-44.4
2099,GJOA HAVEN CLIMATE,NU,-95.8503,68.6356,42,-42,-43.4
2114,KUGAARUK CLIMATE,NU,-89.7964,68.5375,16,-41.2,-42.5
19791982,INUVIK A COMPOSITE,NT,-133.5,68.31045,85,-44.3,-46.1
20802082,KUGLUKTUK A COMPOSITE,NU,-115.1395,67.81695,23,-40,-41.5
2173,CAPE DYER A,NU,-61.6167,66.5833,393,-38.8,-40.2
1928,FORT GOOD HOPE CS,NT,-128.644,66.2422,82,-42.45,-44
19942000,NORMAN WELLS A COMPOSITE,NT,-126.7765,65.285,83,-43.5,-45.6
1919,DELINE CS,NT,-123.433,65.2086,213,-39.2,-41.3
2064,BAKER LAKE A,NU,-96.0778,64.2989,19,-41.8,-43.3
21692170,CAPE DORSET CLIMATE COMPOSITE,NU,-76.5277,64.23055,49,-33.6,-34.7
2086,CORAL HARBOUR A,NU,-83.3594,64.1933,62,-40.3,-41.37
2015,RAE LAKES,NT,-117.328,64.1117,221,-44,-45.984
1865,DAWSON,YT,-139.127,64.0609,370,-48.3,-49.5
22162218,IQALUIT A COMPOSITE,NU,-68.5472,63.7486,34,-38.9,-40.2
1829,MAYO A,YT,-135.867,63.6167,504,-49.2,-50.6
1987,LAC LA MARTRE,NT,-117.245,63.1336,271,-41.2,-44
2117,RANKIN INLET A,NU,-92.1167,62.8167,32,-41.6,-42.5
1944,FORT RELIANCE,NT,-109.167,62.7167,166,-42.6,-45.616
2042,YELLOWKNIFE A,NT,-114.44,62.4628,206,-41.3,-43
8773,LUTSELK'E CS,NT,-110.69,62.4156,179,-39.3,-41.2
1797,FARO (AUT),YT,-133.376,62.2075,717,-45.1,-46.8
1774,CARMACKS CS,YT,-136.192,62.115,543,-43.4,-45.2
19511952,FORT SIMPSON A COMPOSITE,NT,-121.237,61.7603,169,-42.2,-44.4
1769,BURWASH A,YT,-139.05,61.3667,806,-43.1525,-46.3
2093,ARVIAT CLIMATE,NU,-94.0667,61.1,10,-38.4,-39.5
19681970,HAY RIVER A COMPOSITE,NT,-115.78,60.8393,164,-39.4,-41.3
1806,HAINES JUNCTION,YT,-137.58,60.7725,595,-43,-45.918
1893,WHITEHORSE A,YT,-135.069,60.7095,706,-41.2,-43.4
1881,TESLIN (AUT),YT,-132.733,60.1667,705,-41.4,-43.8
1887,WATSON LAKE A,YT,-128.822,60.1165,687,-46.1,-48.2
19591961,FORT SMITH A COMPOSITE,NT,-111.9455,60.0232,204,-41.1,-43.3
4396,STONY RAPIDS A,SK,-105.833,59.25,245,-41.8,-43.6
1686,FORT NELSON A,BC,-122.597,58.8364,382,-38,-40.5
49574962,CHURCHILL A COMPOSITE,MB,-94.06655,58.73625,29,-38.3,-39.8
5016,TADOULE LAKE CS,MB,-98.5017,58.7158,262,-38.4,-39.7
3738,GARDEN RIVER,AB,-113.866,58.7108,241,-39.8,-41.5
3595,HIGH LEVEL A,AB,-117.165,58.6214,338,-39.975,-42.8
75967597,INUKJUAK UA COMPOSITE,QC,-78.0801,58.4693,25,-35.7,-37.3
16851717,DEASE LAKE (AUT) COMPOSITE,BC,-130.0285,58.42415,797,-38,-40.5
7627,KUUJJUAQ A,QC,-68.4167,58.1,40,-36.3,-38.1
3399,MILDRED LAKE,AB,-111.559,57.0411,310,-34.4,-36.5
4988,LYNN LAKE A,MB,-101.076,56.8639,357,-39.5,-41.4
33363338,FORT MCMURRAY A COMPOSITE,AB,-111.215,56.65055,369,-37.2,-39.9
8497,NAIN,NL,-61.6833,56.55,8,-27.9,-29.1
4968,GILLAM,MB,-94.7042,56.3589,145,-36.3,-38.5
4389,SOUTHEND,SK,-103.283,56.3333,344,-38.3,-40.9
1630,FORT ST JOHN A,BC,-120.74,56.2381,695,-33.2,-35.7
3651,PEACE RIVER A,AB,-117.447,56.2269,571,-35.1,-38.8
4978,KELSEY DAM CS,MB,-96.5097,56.0375,183,-36.3,-38.539
