history_id,station_name,province,lon,lat,elev (m),TwJul2.5 (degC)
3808,ESTEVAN A,SK,-102.967,49.2167,580,21.8
3839,INDIAN HEAD CDA,SK,-103.65,50.55,579,22.5
3858,LAST MOUNTAIN CS,SK,-105.25,51.4167,497,22
39378784,REGINA COMPOSITE,SK,-104.667,50.4333,577,21.6
3973,WATROUS EAST,SK,-105.4,51.6667,526,22
39853998,WYNYARD COMPOSITE,SK,-104.2,51.7667,561,20.8
3992,YORKTON A,SK,-102.467,51.2667,498,20.8
4002,WEYBURN,SK,-103.8,49.7,589,22.7
4011,ASSINIBOIA AIRPORT,SK,-105.946,49.7292,726,21
4029,ELBOW CS,SK,-106.583,51.1333,595,21.1
4065,LUCKY LAKE,SK,-107.15,50.95,665,21.5875
4068,MAPLE CREEK,SK,-109.466,49.9025,767,20
4100,SWIFT CURRENT A,SK,-107.683,50.3,817,19.8
4103,SWIFT CURRENT CDA,SK,-107.733,50.2667,825,20.7
4110,LEADER AIRPORT,SK,-109.501,50.9095,676,19.9
4122,CORONACH SPC,SK,-105.483,49.05,756,21.3
4123,CYPRESS HILLS PARK,SK,-109.514,49.6406,1271,17.7
4127,EASTEND CYPRESS (AUT),SK,-108.989,49.4378,1080,18.5
4143,ROCKGLEN (AUT),SK,-105.979,49.1678,917,19.8
4148,VAL MARIE SOUTHEAST,SK,-107.586,49.0583,796,19.8
4184,KINDERSLEY A,SK,-109.183,51.5167,694,19.8
42004202,NORTH BATTLEFORD COMPOSITE,SK,-108.256,52.7719,548,19.8
4210,ROSETOWN EAST,SK,-107.917,51.5667,586,20.8
4218,SCOTT CDA,SK,-108.835,52.3597,660,20.4
4270,MELFORT,SK,-104.6,52.8167,490,21.8
4280,OUTLOOK PFRA,SK,-107.05,51.4833,541,21.3
4285,PRINCE ALBERT A,SK,-105.667,53.2167,428,20.3
4298,SASKATOON KERNEN FARM,SK,-106.55,52.15,510,20.8
4333,BUFFALO NARROWS (AUT),SK,-108.421,55.8406,440,18.9
4341,COLLINS BAY,SK,-103.712,58.19,490,17.5
4358,ISLAND FALLS (AUT),SK,-102.35,55.5333,297,18.8
4365,KEY LAKE A,SK,-105.6,57.25,514,17.8
4389,SOUTHEND,SK,-103.283,56.3333,344,18.8
4392,SPIRITWOOD WEST,SK,-107.55,53.3667,584,21.4
4396,STONY RAPIDS A,SK,-105.833,59.25,245,18.6
4399,WASKESIU LAKE,SK,-106.067,53.9167,569,19.4
4405,MEADOW LAKE,SK,-108.517,54.1333,481,19.9
4406,URANIUM CITY (AUT),SK,-108.483,59.5667,318,18
4434,NIPAWIN,SK,-104,53.3333,372,21.2
4445,HUDSON BAY,SK,-102.317,52.8167,358,21.3
4475,BRANDON A,MB,-99.9519,49.91,409,22.2
4483,CARBERRY CS,MB,-99.3574,49.9058,384,23.9
4542,ROBLIN,MB,-101.363,51.1833,540,22.5
4553,SHOAL LAKE CS,MB,-100.603,50.4549,561,22.6
4581,WASAGAMING,MB,-99.9419,50.655,627,21.3
4586,MELITA,MB,-100.986,49.2813,446,23.2
4610,DEERWOOD RCS,MB,-98.3192,49.3998,341,23.9
4618,EMERSON AUT,MB,-97.2375,49,242,24
4628,GRETNA (AUT),MB,-97.56,49.0308,253,24
4652,MORDEN CDA CS,MB,-98.0839,49.1876,298,24
4674,PILOT MOUND (AUT),MB,-98.9049,49.191,470,23.8
4703,SPRAGUE,MB,-95.5983,49.0236,329,22.9
4742,WINNIPEG THE FORKS,MB,-97.1294,49.8883,230,23.2
4756,CARMAN U OF M CS,MB,-98.0297,49.4981,268,24.6
4770,BERENS RIVER CS,MB,-97.022,52.3597,222,21.6
4785,GEORGE ISLAND (AUT),MB,-97.6164,52.8186,223,21
4786,FISHER BRANCH (AUT),MB,-97.5545,51.0834,253,22.1
4798,GREAT FALLS CLIMATE,MB,-95.9772,50.5222,253,22.1
4811,GRAND RAPIDS (AUT),MB,-99.2678,53.1864,223,20.9
4825,VICTORIA BEACH (AUT),MB,-96.5667,50.7,220,23.6
4828,PINAWA,MB,-96.0647,50.1772,268,22.8
4843,DAUPHIN A,MB,-100.05,51.1,305,22.3
4848,DELTA MARSH CS,MB,-98.3822,50.1826,248,23.7
4928,MCCREARY,MB,-99.53,50.7119,351,22.9
4934,OAKPOINT MARINE,MB,-98.0367,50.4995,250,24
