ilocy,ilocx,TJul2.5 (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals
552,1011,303.84999999999997,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA AUTO,0.9894990339211946,308.300048828125
552,1017,302.54999999999995,-4.549355282510455,10.75262827580764,41.9486,-82.5189,POINT PELEE CS,0.986173577166846,308.01617431640625
558,1009,305.02,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,0.9936289384789022,308.2008361816406
565,1026,303.15,-3.96806270606981,11.12134986160888,42.45,-81.8833,RIDGETOWN RCS,0.9903737913094675,307.318115234375
579,1046,303.84999999999997,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CS,0.9948213565787924,306.650634765625
580,1035,302.84999999999997,-3.2901926502243564,11.534742416339043,43.0332,-81.15055,LONDON CS COMPOSITE,0.9900991523142536,307.0991516113281
587,1054,303.75,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,0.9952130998926223,306.4290466308594
590,1054,304.95,-2.847748537093577,12.367862378820393,43.2917,-79.9083,HAMILTON RBG CS,0.999518789337914,306.31439208984375
592,1065,302.25,-2.777024958427152,12.868782847614893,43.25,-79.2167,PORT WELLER (AUT),0.9900210148011741,306.5149230957031
595,1023,301.04999999999995,-2.652732378466715,10.985487811987579,43.7667,-81.7167,GODERICH,0.9843143310271397,307.0679931640625
596,1044,302.25,-2.5766172477994584,11.930342238677156,43.65,-80.4167,ELORA RCS,0.990718886084102,306.29901123046875
599,1061,301.75,-2.437739396813662,12.657206982834726,43.62805,-79.39555,TORONTO ISLAND A COMPOSITE,0.989230382721406,306.25244140625
600,1057,304.25,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,0.9978482579659301,306.1228942871094
600,1060,304.04999999999995,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO CITY,0.9969130524068259,306.2086486816406
603,1037,301.54999999999995,-2.300804570575231,11.625346633334846,43.9833,-80.75,MOUNT FOREST (AUT),0.9881709947325598,306.3775634765625
605,1060,304.54999999999995,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,0.9989309548695583,306.0926208496094
611,1051,303.04999999999995,-1.9090728517835933,12.250936972318437,44.2333,-79.7833,EGBERT CS,0.9947387727139749,305.86865234375
611,1078,298.65,-1.9198534980984727,13.446682564305245,43.95,-78.1667,COBOURG (AUT),0.9793528766802013,306.1632385253906
613,1095,298.84999999999997,-1.8540076319615553,14.186073428531435,43.8333,-77.15,POINT PETRE (AUT),0.982595885709817,305.35711669921875
616,1043,302.25,-1.7154697341383163,11.8907013659687,44.5,-80.2167,COLLINGWOOD,0.9936565507985384,305.3934631347656
617,1087,302.54999999999995,-1.647919910661428,13.848380542642577,44.1167,-77.5333,TRENTON A,0.994715472273619,305.37115478515625
618,1028,301.04999999999995,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,WIARTON A,0.9909825318448985,305.00177001953125
618,1054,302.24249999999995,-1.628527286900477,12.358775206404447,44.4833,-79.55,BARRIE-ORO,0.9941414259968845,305.2369384765625
619,1074,303.65,-1.553976091417733,13.258761953577883,44.35,-78.3,PETERBOROUGH TRENT U,0.9980710933170827,305.45098876953125
620,1059,300.54999999999995,-1.5131887286064079,12.576260729874983,44.5472,-79.2167,LAGOON CITY,0.9891841346190793,305.0487976074219
635,1042,300.75,-0.864689730664254,11.829329505586019,45.3442,-80.0442,PARRY SOUND CCG,0.9991209849353833,302.21588134765625
637,1077,302.25,-0.7819622248401432,13.376963697208172,45.0714,-77.8789,BANCROFT AUTO,0.9988629060231737,303.8016662597656
639,1000,300.54999999999995,-0.6883970505338951,9.992710779507949,45.8833,-82.5667,GORE BAY A,0.9962915474089598,302.87261962890625
644,1112,303.25,-0.4461626144289343,14.929598665935082,45.0,-75.6333,KEMPTVILLE CS,0.997653307484091,305.1763610839844
647,968,301.34999999999997,-0.3282026503152139,8.56463998274487,46.4833,-84.5094,SAULT STE MARIE A,0.9965102563082326,303.6121520996094
651,1109,303.15,-0.14229068458931268,14.818651720335906,45.3225,-75.6692,OTTAWA MACDONALD-CARTIER INT'L A,0.998139399493227,304.9271545410156
653,1132,303.15,-0.06746642402228695,15.808409118577105,45.1208,-74.2894,ST-ANICET 1,0.9978318167059848,305.0211486816406
657,1141,302.54999999999995,0.1010906457365428,16.207356591627608,45.1672,-73.6789,STE-CLOTILDE,0.996268956185555,304.8949890136719
658,1081,303.125,0.16636607784747412,13.543748046258958,45.95,-77.3167,PETAWAWA A,1.0013820797054058,303.9146728515625
658,1154,301.84999999999997,0.14685930964715913,16.805827936033086,45.0333,-72.85,FRELIGHSBURG,0.9976429222839263,303.7706298828125
660,1046,300.65,0.2247059616752298,12.02855117692835,46.3636,-79.4228,NORTH BAY A,0.9955211408785349,303.2078552246094
661,1024,301.95,0.27785930544065024,11.04782465123829,46.6256,-80.7978,SUDBURY A,1.0005998924573205,302.9732666015625
661,1135,302.75,0.29875596700283863,15.963370852402406,45.4272,-73.9292,STE-ANNE-DE-BELLEVUE 1,0.9956418770262994,305.2886962890625
661,1145,302.54999999999995,0.2903801318541239,16.391939646159297,45.2939,-73.3494,L'ACADIE,0.9958773156397739,305.014892578125
663,1107,301.75,0.3596178026937318,14.694185981330756,45.8394,-75.6481,HIGH FALLS,0.9975144419195123,303.7091064453125
663,1138,302.54999999999995,0.3743888073311632,16.07486218754315,45.46725,-73.74585,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A COMPOSITE,0.9947097066484737,305.3729248046875
664,1140,302.65,0.4443307640007551,16.175667448413403,45.5047,-73.5792,MCTAVISH,0.9948570377640964,305.4286193847656
665,1279,291.65,0.4811565488031293,22.31106611525627,43.4508,-65.4717,BACCARO PT,0.9785556771547265,299.230712890625
666,1132,302.04999999999995,0.5070676872066261,15.82450983689447,45.6667,-74.0333,MONTREAL/MIRABEL INT'L A,0.9949682739079161,304.7890319824219
