ilocy,ilocx,SL50 (kPa),rlat,rlon,lat,lon,station_name,ratio,model_vals
674,1147,2.4,0.8463890909946689,16.47479579678509,45.8,-73.0,FLEURY,1.054245417601099,1.649946689605713
674,1178,3.0,0.8834959655618496,17.87385061537259,45.4,-71.0833,NOTRE DAME DES BOIS,0.9087020441448724,2.392765522003174
677,881,3.8,0.9978671020460085,4.707577833482668,48.2833,-89.9167,WHITEFISH LAKE,1.3704443333558909,2.009660005569458
678,1117,3.0,1.0340555599277181,15.137667577989024,46.3667,-74.7667,LA MACAZA,0.9198283532863509,2.3638224601745605
678,1143,2.5,1.0447050148731867,16.327496188013978,46.0333,-73.1167,SOREL,1.0447395916305688,1.7343324422836304
678,1154,2.5,1.0348232563982545,16.79264234742965,45.8833,-72.4833,DRUMMONDVILLE,1.0114983589721986,1.7913284301757812
678,1172,3.2,1.0408049695193322,17.61091405605013,45.6333,-71.3667,LINGWICK,0.9505547296339139,2.4399068355560303
678,1177,3.7,1.0494863716117762,17.79263385317223,45.5833,-71.1167,MILAN,1.087144308094295,2.4666919708251953
679,959,4.4,1.1072814606393633,8.146944438375767,47.9667,-84.7833,WAWA A,1.208973503457723,2.637766122817993
679,1135,3.6,1.1048802078623199,15.95810005194841,46.2,-73.6,STE BEATRIX,1.2213668043742414,2.136273145675659
680,890,3.5,1.1206948848156557,5.08967868562008,48.3694,-89.3272,THUNDER BAY A,1.2157750834216958,2.086484670639038
680,981,3.1,1.1215982693691606,9.121374066660865,47.82,-83.3467,CHAPLEAU A,1.0326677397267803,2.1757123470306396
680,1147,2.1,1.1514404604556916,16.500102870276372,46.0833,-72.8333,PIERREVILLE,0.8242227012577753,1.8466097116470337
680,1254,1.5,1.117162822865409,21.200383894095932,44.46076667,-66.56365,METEGHAN RIVER composite,1.2392943325362589,0.8772374987602234
681,1132,3.6,1.1542596729610621,15.834532095958147,46.2833,-73.75,ST COME,1.1108781679218418,2.348748207092285
683,1178,3.4,1.2606717705989359,17.84366708527203,45.7667,-70.95,ST SEBASTIEN,0.9720444765620075,2.5350887775421143
684,1138,3.5,1.29909797368146,16.07911852243818,46.35,-73.35,ST CHARLES DE MANDEVILLE,1.1724570064358775,2.1635727882385254
684,1150,2.9,1.3081477460879134,16.607760775956216,46.2,-72.6167,NICOLET,1.1666605297028045,1.8015813827514648
684,1182,2.7,1.3054290288877226,18.025092727207987,45.75,-70.6833,ST LUDGER,0.774516211587203,2.526583433151245
685,855,2.9,1.3728805146422267,3.547520198421301,48.75,-91.6167,ATIKOKAN,1.141457136550557,1.841360330581665
686,1105,3.4,1.3913321643034506,14.630169131697288,46.85,-75.3333,STE ANNE DU LAC,1.0983393158637096,2.243586301803589
687,1166,2.9,1.4353865918581943,17.319534723993772,46.1,-71.5833,ST FERDINAND,0.9112868116385799,2.306446075439453
688,1033,5.2,1.464268420428553,11.450362801068342,47.7,-79.85,EARLTON A,1.789706899156361,2.105822801589966
688,1149,2.9,1.4827451771107225,16.55193535398155,46.3833,-72.6167,TROIS RIVIERES AQUEDUC,1.0832949533924603,1.9402230978012085
688,1169,4.7,1.4868129159530434,17.472963414579834,46.1,-71.35,THETFORD MINES,1.3987205827581535,2.4353830814361572
689,1140,3.1,1.5150610464679561,16.15629574000493,46.5333,-73.15,ST ALEXIS DES MONTS,1.0334392859951935,2.1740880012512207
690,1149,4.1,1.5858719669451118,16.564190208663554,46.47778333,-72.55415833,RIVIERE A PIERRE composite,1.4833800403728088,2.003234624862671
691,1182,2.7,1.6268592987363577,18.036246116246513,46.05,-70.5167,ST COME DE LINIERE,0.7543314169244495,2.594191074371338
691,1284,2.5,1.6142468085780268,22.551400289984592,44.4,-64.55,BRIDGEWATER,1.914556641709767,0.9463944435119629
692,949,3.1,1.6822521533276675,7.721167762872969,48.6,-85.2833,WHITE RIVER,0.9085637834839924,2.472900629043579
692,1150,3.8,1.664176253985097,16.626426689197242,46.5333,-72.4333,ST NARCISSE,1.3456332610132506,2.0467145442962646
692,1179,2.4,1.6796607608428853,17.883321299254668,46.15,-70.7,ST GEORGES,0.6703964855454161,2.5946567058563232
692,1246,4.7,1.6654751578683622,20.850317762178534,45.1,-66.7333,PENNFIELD,2.150226525553424,1.584214687347412
693,746,2.1,1.7062631912498636,-1.2453482523306831,49.191,-98.9049,PILOT MOUND (AUT),1.2413932723033996,1.2260559797286987
693,758,2.2,1.6882373082187547,-0.7083728658870007,49.1833,-98.0833,MORDEN CDA,1.2900435499504828,1.236000657081604
693,1156,3.5,1.6981108675439935,16.892890608074847,46.4833,-72.05,FORTIERVILLE,1.228571310536273,2.0647528171539307
694,1153,3.1,1.7540822281724946,16.741931706325044,46.5833,-72.2333,STE ANNE DE LA PERADE,1.0855027380274813,2.0698132514953613
695,1172,4.5,1.7744012915046719,17.594713197903786,46.3333,-71.05,ST SEVERIN,1.3491028181740343,2.4175076484680176
695,1181,2.9,1.788085543520356,17.992307149959434,46.2167,-70.5,ST PROSPER,0.8038366405015742,2.6147525310516357
696,1236,4.7,1.8336806041740799,20.412222624117724,45.4179375,-67.2232875,MAGAGUADAVIC LAKE composite,1.8575814817280472,1.83379328250885
697,686,1.5,1.8662740844535828,-3.895667948011195,49.2167,-102.96700000000001,ESTEVAN A,1.1730730583451037,0.9267585277557373
697,1157,3.6,1.9009426839342536,16.922755381469877,46.6667,-71.9167,DESCHAMBAULT,1.1304461785536917,2.308091402053833
698,1154,4.1,1.912824438817077,16.798519081378075,46.7167,-72.0833,ST ALBAN,1.263541740703591,2.351768970489502
699,756,1.6,1.956539149126066,-0.8130760493526549,49.45,-98.25,MIAMI THIESSEN,0.9364638179912843,1.2383099794387817
699,780,2.2,1.9687963517466125,0.2366741605794048,49.46824211,-96.63602632,SPRUCE TCPL 43 composite,1.1940732651029393,1.3353407382965088
699,1148,3.9,1.9884978888085978,16.545808996887292,46.8667,-72.4,LAC AUX SABLES,1.1286531974794276,2.5044045448303223
699,1180,4.6,1.9845023376234565,17.948131049345225,46.4167,-70.4667,STE GERMAINE,1.2508277183089538,2.6653897762298584
701,1163,5.2,2.054217978278324,17.173129500136174,46.7333,-71.5,ST AUGUSTIN,1.5618709617024094,2.4130070209503174
701,1168,3.8,2.0641528045347988,17.411163562539105,46.6667,-71.1667,BEAUSEJOUR,1.1220294465393699,2.454594373703003
701,1273,2.8,2.0477520185861904,22.08183244528817,44.9833,-64.9167,GREENWOOD A,2.0388879944249925,0.9953253269195557
702,1007,4.3,2.1028662985791216,10.272256140147682,48.5697,-81.3767,TIMMINS VICTOR POWER A,1.388973905604126,2.2437515258789062
702,1183,4.0,2.1043623241683953,18.088712820603085,46.4833,-70.2167,ST CAMILLE,1.053601720381991,2.751591205596924
702,1256,2.9,2.0923818993230565,21.32172942210499,45.3181,-65.8856,SAINT JOHN A,1.6934748114685094,1.2411367893218994
703,1062,4.2,2.1295758090215102,12.715646487269279,48.0564,-77.7867,VAL-D'OR A,1.313472089920969,2.3175485134124756
703,1164,4.6,2.142892402870948,17.22771444423007,46.8,-71.3833,QUEBEC/JEAN LESAGE INTL A,1.3404506875711693,2.4871809482574463
703,1297,2.1,2.1285083347995943,23.143751611246888,44.6333,-63.5,SHEARWATER A,1.4189389006858026,1.0726449489593506
704,1277,3.1,2.1832299349175868,22.229032603976535,45.05,-64.65,WATERVILLE CAMBRIDGE,2.3465248116940804,0.957495927810669
705,1168,5.7,2.220882571941183,17.406153681880436,46.8167,-71.1,LAUZON,1.64626037087384,2.509439468383789
705,1279,3.4,2.245163530071908,22.330642996726787,45.0667,-64.4833,KENTVILLE CDA,2.506628585644758,0.983081042766571
705,1287,4.5,2.249827933933791,22.675906214322463,44.9333,-64.0333,SALMON HOLE,3.52472396768105,0.9253111481666565
707,675,2.0,2.3444152303763364,-4.421666135144434,49.65,-103.833,WEYBURN,1.6425113295476652,0.8825148344039917
707,813,3.9,2.3191516259454263,1.7019727769211224,49.7903,-94.3653,KENORA A,1.7161202324290954,1.6470898389816284
707,1046,4.2,2.3301463594803966,12.017196687285196,48.4167,-78.7333,MONT BRUN,1.2970434560939745,2.346903085708618
708,1168,4.8,2.377566928011995,17.400888965846388,46.9667,-71.0333,CHATEAU RICHER,1.2958001796818777,2.684748411178589
708,1184,4.7,2.38587791745667,18.134863525524572,46.7333,-70.0167,STE LUCIE,1.2255494116497723,2.7795047760009766
708,1295,2.3,2.353824406162802,23.043207937173968,44.88,-63.5,HALIFAX STANFIELD INT'L A,1.6442175646689854,1.0138388872146606
709,756,2.1,2.406655175540253,-0.816592826955396,49.9,-98.2667,PORTAGE SOUTHPORT A,1.2674676130171407,1.2008335590362549
709,771,2.6,2.4169256900823712,-0.15035553299554535,49.9167,-97.2333,WINNIPEG RICHARDSON INT'L A,1.4885541662927737,1.2659282684326172
709,777,2.4,2.4333932656282005,0.0966389221322516,49.9333,-96.85,OAKBANK,1.3311207143329482,1.3067550659179688
709,836,1.9,2.408289044403697,2.742262906325916,49.8333,-92.75,DRYDEN A,0.7493697655078438,1.837628960609436
709,1242,3.3,2.4355673986902304,20.695842322706284,45.8721,-66.5279,FREDERICTON A,1.249231344005247,1.914570927619934
710,732,2.2,2.4461289022730366,-1.9022360052764455,49.91,-99.9519,BRANDON A,1.3495364852176375,1.1815128326416016
710,1225,4.2,2.4503054913706883,19.923144460296516,46.1703,-67.5536,WOODSTOCK,1.3539355353514446,2.248286724090576
710,1240,2.8,2.4538374466501836,20.62178160144984,45.9167,-66.6167,FREDERICTON CDA,1.0187862527946752,1.9919358491897583
710,1248,4.0,2.4523914808738034,20.97348209091824,45.7833,-66.15,GAGETOWN 2,1.3793315131815562,2.101801633834839
711,763,2.3,2.5160958184100637,-0.5191396988927048,50.0134,-97.8071,MARQUETTE,1.3660446619212119,1.2202907800674438
712,1054,4.2,2.5693781490772243,12.368776262825914,48.5667,-78.1333,AMOS,1.2942475172549366,2.351973056793213
712,1355,1.0,2.558199415687226,25.705259485464225,43.9322,-60.0094,SABLE ISLAND,0.7141780299986128,1.0148314237594604
713,1244,3.5,2.5880834006331126,20.757678859211282,45.9903,-66.3633,ACADIA FOREST EXP ST,1.2436851813974472,2.039660930633545
713,1278,3.0,2.5929897681063143,22.295057999272316,45.4,-64.3333,PARRSBORO,1.7429115354955313,1.2475165128707886
714,728,3.4,2.649934333757479,-2.0403860544524055,50.1082,-100.179,RIVERS PETTAPIECE,2.0510432476183422,1.2014466524124146
715,921,2.9,2.703334463357099,6.489334819136607,49.7828,-86.9306,GERALDTON A,0.9298992420219807,2.2602813243865967
715,1163,4.4,2.6832756820036425,17.21270812915398,47.3167,-71.15,FORET MONTMORENCY,0.9227499445022564,3.455962657928467
716,848,3.4,2.724053173483273,3.2714077284853,50.1167,-91.9,SIOUX LOOKOUT A,1.2829350261291685,1.920766830444336
717,988,3.0,2.7844182733983796,9.431461031270734,49.4,-82.4333,KAPUSKASING CDA,0.9341831443425052,2.3274996280670166
717,1051,2.9,2.7724424149031415,12.216949590249524,48.8,-78.2833,LAC BERRY,0.8829917321596286,2.3803551197052
718,987,3.8,2.7939506024780143,9.406987093709729,49.4139,-82.4675,KAPUSKASING A,1.1891516845199432,2.3160436153411865
718,1299,2.0,2.8057614051937527,23.227533862191482,45.2167,-63.0,UPPER STEWIACKE,1.1838871525275705,1.2243908643722534
718,1313,2.0,2.8341066245898623,23.849578318579603,44.9833,-62.1833,ECUM SECUM,1.4694460660475503,0.9864537715911865
719,1294,2.1,2.865301707549471,22.994531657643748,45.3667,-63.2667,TRURO,1.2816317806315953,1.187562346458435
720,1218,4.2,2.915060025357727,19.622613419942642,46.7122,-67.7156,AROOSTOOK,1.208097280400979,2.5196938514709473
720,1293,2.7,2.906569872397495,22.932472395768386,45.42973684,-63.32314737,DEBERT A composite,1.6029208294174637,1.2208212614059448
721,699,2.7,2.9639579026062517,-3.362546462664063,50.35,-102.26700000000001,WHITEWOOD,1.6817965148143983,1.1635651588439941
721,1179,4.3,2.9632011627512,17.917497467271644,47.35,-70.0333,LA POCATIERE CDA,1.1121069106956185,2.80234956741333
721,1276,3.0,2.952510648604285,22.20214615660833,45.7667,-64.25,NAPPAN CDA,1.4722818707252285,1.4768306016921997
721,1304,4.0,2.9636487927491326,23.41369120676652,45.2833,-62.6667,TRAFALGAR,2.2229835913646805,1.3041397333145142
722,694,1.2,2.995535908365118,-3.5550168868492085,50.3681,-102.571,BROADVIEW,0.7494588748124453,1.1604697704315186
722,769,2.0,3.001732624824235,-0.24221326005617003,50.50114,-97.38028,GIMLI A composite,1.1181301047576293,1.296397089958191
722,1273,2.8,2.99186183107382,22.08356301670653,45.85,-64.3833,SACKVILLE,1.3243499651533808,1.5323418378829956
724,695,1.8,3.0926391667634663,-3.503230109800849,50.46864,-102.5009,BROADVIEW A composite,1.1238719798201282,1.1607964038848877
724,891,4.8,3.0628319237385395,5.168523459661336,50.2936,-88.9053,ARMSTRONG (AUT),1.6557949135781735,2.101043701171875
725,651,1.0,3.1345694278645513,-5.464582646908156,50.3333,-105.56700000000001,MOOSE JAW A,0.8739791967142093,0.8292763829231262
725,666,1.2,3.1348148797529256,-4.82227641711188,50.4,-104.56700000000001,REGINA CDA,0.9068923120771405,0.9590161442756653
725,774,1.5,3.133301139837197,-0.010608356324525762,50.6333,-97.0167,GIMLI,0.8171315612393721,1.3304533958435059
725,1267,3.8,3.143485364303546,21.790230230835956,46.1053,-64.6838,MONCTON A,1.5574881433933994,1.7683134078979492
726,489,1.9,3.187961984628174,-12.656336194902284,49.0971,-116.51799999999999,CRESTON,0.2483635410302258,5.544548034667969
726,545,0.9,3.16518878430455,-10.173529005346774,49.6303,-112.8,LETHBRIDGE A,0.8469765974422587,0.7701432108879089
726,664,1.5,3.1741915710209807,-4.882522538616095,50.4333,-104.667,REGINA INT'L A,1.1572453283780046,0.9394338726997375
726,1242,7.8,3.1668816081319098,20.688150177613355,46.5525,-66.1403,DOAKTOWN,2.2123807335550607,2.555260181427002
727,545,1.0,3.2242799425895714,-10.139555795803165,49.695,-112.76700000000001,LETHBRIDGE CDA,0.9465230049059385,0.7657186388969421
728,620,1.1,3.2540343879709486,-6.82970579631831,50.28335,-107.708,SWIFT CURRENT (HYBRID),1.07549191953604,0.7412862181663513
729,576,1.1,3.294490341736107,-8.78098449257167,50.0189,-110.721,MEDICINE HAT A,0.987899324693751,0.8070127367973328
729,1142,3.3,3.321200862802388,16.278681835293746,48.2167,-72.1667,LAC BOUCHETTE,0.922867982100142,2.5916404724121094
729,1213,5.4,3.3020657185607187,19.387549788287743,47.1578,-67.8319,ST LEONARD A,1.4812423278464915,2.642214298248291
729,1301,2.7,3.2939386094819403,23.293464625867358,45.63357273,-62.62608182,STELLARTON LOURDES composite,1.5454310749017346,1.266235589981079
730,1311,3.0,3.336863255409132,23.744543989867303,45.4833,-62.0167,COLLEGEVILLE,1.763462206313276,1.2329784631729126
