ilocy,ilocx,DRWP-RL5 (Pa),rlat,rlon,lat,lon,station_name,ratio,model_vals
756,453,54.66,4.51080999941768,-14.223470518973292,49.96,-119.38,KELOWNA A,1.6663460204914324,39.46794509887695
757,395,110.9,4.536147727357336,-16.809480673978484,49.2,-123.18,VANCOUVER INT'L A,0.7503174577429746,177.8388214111328
757,1195,122.31,4.555495940621813,18.626409141309622,48.6,-68.22,MONT-JOLI A,2.5637979105761235,57.400840759277344
757,1332,212.1,4.5502793752531145,24.683345522023433,46.17,-60.05,SYDNEY A,1.0971021443023394,232.6128387451172
759,603,168.06,4.613377808199025,-7.568386473584832,51.52,-109.18,KINDERSLEY A,0.9396304091630849,215.20252990722656
762,534,143.2,4.77469626192914,-10.626644519461713,51.11,-114.02,CALGARY INT'L A,1.2896617611810028,133.60025024414062
763,529,95.69,4.813005520599581,-10.844034204574589,51.1,-114.37,SPRINGBANK A,0.9823440597438144,117.20415496826172
768,640,129.82,5.043266846661889,-5.966760403571622,52.17,-106.72,SASKATOON DIEFENBAKER INT'L A,0.7160979150262492,218.12692260742188
769,1191,124.19,5.055395503250975,18.44922550579318,49.13,-68.2,BAIE-COMEAU A,1.9673487879385645,75.95307159423828
776,375,265.84,5.401922582794096,-17.690626778778817,49.72,-124.9,COMOX A,1.8823831750923399,169.92308044433594
777,381,154.98,5.416273532592757,-17.408978004943435,49.83,-124.5,POWELL RIVER A,1.010637410688075,184.51019287109375
777,443,79.89,5.414359134196972,-14.659892669557179,50.7,-120.44,KAMLOOPS A,1.8752168047542217,51.260284423828125
782,1246,126.56,5.653646713387498,20.853536075226614,48.78,-64.48,GASPE A,0.9941869787733357,153.16815185546875
785,541,100.89,5.802035779334895,-10.315509608287533,52.18,-113.89,RED DEER A,0.7141287309488876,169.9854278564453
785,620,132.27,5.764244258960174,-6.819201401080854,52.77,-108.26,NORTH BATTLEFORD A,0.7946604256742034,200.27182006835938
790,657,86.59,6.010541921107514,-5.207073374480246,53.22,-105.67,PRINCE ALBERT A,0.6727494768838382,154.86541748046875
798,806,82.3,6.37108696084185,1.3946292957132782,53.85,-94.65,ISLAND LAKE A,1.8163115777547925,54.51921081542969
800,598,111.82,6.467616076505191,-7.815379809826235,53.31,-110.07,LLOYDMINSTER A,0.6692721436634536,201.0281219482422
800,763,52.69,6.452753004204012,-0.5033945328851623,53.95,-97.85,NORWAY HOUSE A,0.9197624298542275,68.9275131225586
802,720,87.87,6.53400215648154,-2.4260770716123363,53.97,-101.1,THE PAS A,0.924355607548295,114.37776947021484
802,1209,200.01,6.528340988392117,19.213457720355485,50.22,-66.27,SEPT-ILES A,1.6216519011491144,148.40008544921875
809,349,148.07,6.86784269725149,-18.824951034965792,50.68,-127.37,PORT HARDY A,1.0320576576494884,172.6248016357422
810,551,112.76,6.875642820722634,-9.886064007381314,53.32,-113.58,EDMONTON INT'L A,0.7720102657503393,175.74058532714844
815,432,53.56,7.129617436596088,-15.168003769945566,52.18,-122.05,WILLIAMS LAKE A,1.271743462522804,50.673526763916016
815,553,118.94,7.112421181180977,-9.797581664276674,53.57,-113.52,EDMONTON CITY CENTRE A,0.8046158874923715,177.86045837402344
815,1329,223.9,7.114432242546456,24.51863441720736,48.53,-58.55,STEPHENVILLE A,0.9201122547937592,292.7880554199219
825,1032,103.1,7.547906096871077,11.4029155218919,53.63,-77.7,LA GRANDE RIVIERE A,1.1638645454880412,106.58505249023438
826,599,89.76,7.582555096627885,-7.748979823645897,54.42,-110.28,COLD LAKE A,0.9257002375576563,116.668212890625
827,1268,199.02,7.642712709540228,21.85498459123804,50.18,-61.82,NATASHQUAN A,1.0422009275383228,229.76577758789062
833,667,82.06,7.9033443208759655,-4.759968002926828,55.15,-105.27,LA RONGE A,1.9195377818021981,51.43691635131836
836,432,60.5,8.024328342207697,-15.162868046396188,53.03,-122.51,QUESNEL A,1.6082450419175902,45.26298904418945
837,1336,70.03,8.078295738552317,24.866805812499454,49.22,-57.4,DEER LAKE A,0.35477943734899436,237.5011749267578
840,1416,264.64,8.229636544684661,28.380241715413714,47.62,-52.74,ST JOHN'S A,0.8215607687583188,387.5751037597656
842,763,97.37,8.30270297559623,-0.4884993832865208,55.8,-97.86,THOMPSON A,2.0091229378106084,58.31210708618164
852,1376,198.31,8.745977514630308,26.628706545784866,48.95,-54.58,GANDER INT'L A,1.0573258244769557,225.67105102539062
855,436,59.28,8.871113541443455,-14.979777338485741,53.89,-122.68,PRINCE GEORGE A,1.6580360099368856,43.01840591430664
855,804,116.45,8.878914916935496,1.2837498602150572,56.36,-94.71,GILLAM A,1.5055303310152175,93.06578826904297
855,1177,58.86,8.898018760252826,17.834264483358705,52.93,-66.87,WABUSH LAKE A,0.9280223685279424,76.31359100341797
858,1399,393.29,8.999280541905184,27.615907482081518,48.67,-53.11,BONAVISTA,1.6154049268210902,292.9352111816406
861,1022,158.6,9.14005602808676,10.964202467323672,55.28,-77.75,KUUJJUARAPIK A,1.2156615107518698,156.97503662109375
867,723,73.56,9.41932144672039,-2.259641529848787,56.86,-101.08,LYNN LAKE A,0.9874529233373334,89.63247680664062
868,493,140.58,9.438726202734115,-12.46277600079519,55.18,-118.89,GRANDE PRAIRIE A,1.3844732399455912,122.174072265625
877,596,58.92,9.871485624589594,-7.878546654547363,56.65,-111.22,FORT MCMURRAY A,1.0436280291360767,67.92929077148438
883,1315,292.64,10.105148887194856,23.914322488641062,51.45,-57.18,LOURDES DE BLANC SABLON A,1.564659672606245,225.03697204589844
885,517,82.18,10.230375248010775,-11.382009815503885,56.23,-117.45,PEACE RIVER A,0.9837822337523103,100.50952911376953
887,315,430.41,10.319011171620309,-20.314500842243948,53.25,-131.81,SANDSPIT A,1.3402569343197681,386.3975524902344
889,462,40.66,10.38528833193677,-13.817254375803074,55.69,-121.63,CHETWYND A,1.1059306474393547,44.23637771606445
895,367,127.94,10.649435934550974,-18.038998619617658,54.47,-128.58,TERRACE A,0.5614947003335741,274.15789794921875
895,387,44.04,10.660528671007661,-17.141135481049094,54.82,-127.18,SMITHERS A,0.6841771236828829,77.44953918457031
897,477,73.8,10.75561746686087,-13.163132984294574,56.24,-120.74,FORT ST JOHN A,0.8251376581963288,107.61431121826172
899,1255,103.24,10.845009855655066,21.251243577858464,53.32,-60.42,GOOSE A,1.5609150082235335,79.58089447021484
901,342,223.58,10.921684876271456,-19.12194213094161,54.29,-130.44,PRINCE RUPERT A,0.6446121495105208,417.32513427734375
909,810,176.37,11.269418007840777,1.555134260420105,58.74,-94.06,CHURCHILL A,0.9875031103164643,214.89500427246094
926,671,41.15,12.011586153793473,-4.602476392897081,59.25,-105.83,STONY RAPIDS A,0.5854705670333707,84.56776428222656
928,1292,185.34,12.126412871499793,22.880309044205283,53.71,-57.04,CARTWRIGHT,1.686764030911238,132.20713806152344
937,535,48.63,12.496801234805305,-10.592023226109646,58.62,-117.16,HIGH LEVEL A,0.7252854581928879,80.67433166503906
954,602,48.64,13.253942778231496,-7.615484040023756,60.02,-111.96,FORT SMITH A,0.6282991890020988,93.1466293334961
956,1115,74.68,13.380969451835304,15.061244846114397,58.1,-68.42,KUUJJUAQ A,0.5223071212124766,172.03564453125
960,474,64.28,13.53742917338265,-13.294894868709035,58.84,-122.6,FORT NELSON A,1.3348370645714873,57.941226959228516
981,564,62.23,14.46889270040544,-9.323066404531907,60.84,-115.78,HAY RIVER A,0.8275263154316962,90.48114013671875
1002,827,118.57,15.392536791124428,2.309887457615074,62.82,-92.12,RANKIN INLET A,0.6263204261621236,227.78143310546875
1013,416,51.74,15.883721886969841,-15.848602456456529,60.12,-128.82,WATSON LAKE A,1.8594818522361227,33.47916030883789
1013,587,58.02,15.891411322931216,-8.284080163531243,62.46,-114.44,YELLOWKNIFE A,0.5406456994250057,129.12342834472656
1018,511,63.07,16.085986635011167,-11.664397066935457,61.76,-121.24,FORT SIMPSON A,1.2181165044705324,62.297996520996094
1034,784,110.9,16.802466828442196,0.4167447952850571,64.3,-96.08,BAKER LAKE A,0.653126854494567,204.3026885986328
1043,914,106.55,17.23230924179863,6.171163354568915,64.19,-83.36,CORAL HARBOUR A,0.6133657667659135,209.01333618164062
1056,357,33.1,17.77359518906677,-18.468991963476608,60.71,-135.07,WHITEHORSE A,0.5831582852172269,68.29385375976562
1059,982,142.55,17.94490081073005,9.19629677238701,64.23,-76.53,CAPE DORSET A,0.7642844365507881,224.4152069091797
1075,1065,144.1,18.615143558311996,12.846172943570908,63.75,-68.55,IQALUIT A,0.7649952269662149,226.6445770263672
1090,325,42.23,19.30912640171895,-19.880174988596256,61.37,-139.05,BURWASH A,0.9089986501934798,55.89821243286133
1112,485,59.24,20.25098488023692,-12.798314353202448,65.28,-126.8,NORMAN WELLS A,0.693833363650227,102.73062896728516
1117,383,31.92,20.498778895842435,-17.318710003451283,63.62,-135.87,MAYO A,1.1904091417812783,32.263145446777344
1132,611,77.19,21.167560959862847,-7.240844434068108,67.82,-115.14,KUGLUKTUK A,0.5987605215726568,155.1129150390625
1146,704,91.42,21.773321967419225,-3.1165303618143443,69.11,-105.14,CAMBRIDGE BAY A,0.6450830574082951,170.51620483398438
1149,912,68.83,21.898144562534362,6.082097644981334,68.78,-81.24,HALL BEACH A,0.4512516099629729,183.52662658691406
1153,804,59.16,22.07836238921927,1.2888123296401932,69.55,-93.58,TALOYOAK A,0.44185967378704544,161.09567260742188
1199,460,45.82,24.11190690283302,-13.936348923920331,68.3,-133.48,INUVIK A,0.8673167727370985,63.56490707397461
1216,1003,65.59,24.857840117577734,10.108677027066184,70.49,-68.52,CLYDE A,0.5576413947076526,141.52159118652344
1240,914,34.05,25.941083340389177,6.193894082858051,72.68,-77.98,POND INLET A,0.3056361017437997,134.04559326171875
1269,788,53.95,27.22770289862305,0.5956047694882174,74.72,-94.99,RESOLUTE CARS,0.42922793306803847,151.23194885253906
1391,826,4.82,32.64226232240128,2.2737621521282114,79.98,-85.93,EUREKA A,0.03940494857846276,147.17578125
