ilocy,ilocx,DRWP-RL5 (Pa),rlat,rlon,lat,lon,station_name,ratio,model_vals
558,1009,179.16,-4.283104302696331,10.36938717823313,42.28,-82.96,WINDSOR A,0.9440309357273696,228.34678649902344
576,1017,143.06,-3.496102694375485,10.71728847081279,42.99,-82.3,SARNIA AIRPORT,0.7262797105732994,237.0032958984375
580,1035,131.57,-3.293245796665804,11.53578333102198,43.03,-81.15,LONDON INT'L AIRPORT,0.5837815983218009,271.1730651855469
587,1054,174.31,-2.96998139795151,12.378830647002676,43.17,-79.93,HAMILTON A,0.8911179367671248,235.35704040527344
600,1057,162.1,-2.4246974952810176,12.480121397846753,43.68,-79.63,TORONTO LESTER B. PEARSON INT'L A,0.9781247060703918,199.40170288085938
605,1060,115.88,-2.207525347095428,12.62337089792687,43.86,-79.37,TORONTO BUTTONVILLE A,0.7075836689769925,197.04742431640625
616,1074,75.29,-1.6824127129527364,13.23838855127836,44.23,-78.37,PETERBOROUGH A,0.5041176724308795,179.69891357421875
617,1087,114.38,-1.644138793231389,13.849866314484087,44.12,-77.53,TRENTON A,0.9616658943057712,143.10867309570312
618,1028,109.44,-1.6028160876836928,11.21661029682702,44.75,-81.11,WIARTON A,1.0221447902586782,128.82606506347656
647,968,93.63,-0.33152630642267666,8.564758326361265,46.48,-84.51,SAULT STE MARIE A,1.4346964259672288,78.52267456054688
651,1109,112.63,-0.14484995889957095,14.818780276886544,45.32,-75.67,OTTAWA MACDONALD-CARTIER INT'L  A,1.5753006901027207,86.02619171142578
659,1046,133.02,0.22162660494056002,12.031236582183073,46.36,-79.42,NORTH BAY A,3.4491620917867314,46.40271759033203
661,1024,111.76,0.2818544128310856,11.04544099442621,46.63,-80.8,SUDBURY A,1.1902387777870271,112.97760772705078
663,1138,149.6,0.3761726220250257,16.07127729576382,45.47,-73.75,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,1.3352811642964604,134.8028106689453
666,1132,88.07,0.5108916407289729,15.825768997424802,45.67,-74.03,MONTREAL/MIRABEL INT'L A,0.8948031871719737,118.42422485351562
666,1142,126.19,0.4917536316627196,16.27780240477051,45.52,-73.42,MONTREAL/ST-HUBERT A,1.0552416090141097,143.8842010498047
