ilocy,ilocx,mean RH (%),rlat,rlon,lat,lon,station_name,ratio,model_vals
658,1154,74.0,0.14685930964715913,16.805827936033086,45.0333,-72.85,FRELIGHSBURG,1.065345094908476,77.52367401123047
660,1046,74.0,0.2247059616752298,12.02855117692835,46.3636,-79.4228,NORTH BAY A,1.071040236410553,77.1114501953125
661,1024,72.0,0.27785930544065024,11.04782465123829,46.6256,-80.7978,SUDBURY A,0.9718390555596984,82.68582916259766
661,1135,73.0,0.29875596700283863,15.963370852402406,45.4272,-73.9292,STE-ANNE-DE-BELLEVUE 1,1.0233565795236277,79.61388397216797
661,1145,75.0,0.2903801318541239,16.391939646159297,45.2939,-73.3494,L'ACADIE,1.0502753473526583,79.69866180419922
663,1107,77.0,0.3596178026937318,14.694185981330756,45.8394,-75.6481,HIGH FALLS,1.1260333430253444,76.31895446777344
663,1138,70.0,0.3730154780297401,16.072237754624673,45.4667,-73.75,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,0.973573927341887,80.2457504272461
666,1132,72.0,0.5070676872066261,15.82450983689447,45.6667,-74.0333,MONTREAL/MIRABEL INT'L A,1.0089111368066195,79.64756774902344
666,1142,72.0,0.4892824791896059,16.280985270212184,45.5167,-73.4167,MONTREAL/ST-HUBERT A,0.996774426250874,80.61735534667969
668,1049,76.0,0.6116695306403618,12.166449577432108,46.7097,-79.1011,BARRAGE TEMISCAMINGUE,1.1016891015539902,76.9923324584961
669,1266,82.0,0.6616967255468574,21.753266688790557,43.8308,-66.0886,YARMOUTH A,1.1226771183469306,81.5177001953125
670,1167,76.0,0.6886805319462729,17.390734475406397,45.3689,-71.8236,LENNOXVILLE,1.0987543831089324,77.1979751586914
671,1098,75.0,0.7391769186864998,14.331629182838835,46.3018,-76.0061,MANIWAKI UA,1.102735457213018,75.90718078613281
671,1099,75.0,0.7156331962537236,14.348255532286624,46.2747,-75.9919,MANIWAKI AIRPORT,1.0997803237419077,76.11114501953125
672,1140,73.0,0.7652575197208127,16.182646599358296,45.8094,-73.4347,L'ASSOMPTION,1.0222891428855876,79.69701385498047
672,1169,74.0,0.7807929838028224,17.463999638422727,45.4333,-71.6833,SHERBROOKE A,1.0631587583947633,77.68309783935547
673,1126,76.0,0.8244980392844867,15.547958374592634,46.05,-74.2833,STE AGATHE DES MONTS,1.0930711868003145,77.59934997558594
677,1258,84.0,1.0130631992300436,21.40976422531739,44.2858,-66.3467,BRIER ISLAND,1.1525911625083107,81.3386459350586
679,959,76.0,1.1072814606393633,8.146944438375767,47.9667,-84.7833,WAWA (AUT) COMPOSITE,1.0730409384886437,79.04788208007812
680,890,73.0,1.1206948848156557,5.08967868562008,48.3694,-89.3272,THUNDER BAY A COMPOSITE,1.078704973277794,75.52889251708984
680,981,73.0,1.1215982693691606,9.121374066660865,47.82,-83.3467,CHAPLEAU A,0.9855143216032126,82.67093658447266
682,828,73.0,1.2049970734234212,2.3522807896207825,48.6511,-93.4389,FORT FRANCES RCS,1.0174690922483463,80.0745620727539
682,1286,82.0,1.2052549376769126,22.638199832678378,43.99,-64.6642,WESTERN HEAD,1.102604892335429,83.00167846679688
684,1149,75.0,1.324199050408167,16.57320591671965,46.2258,-72.6572,NICOLET,1.0506641818791433,79.6691665649414
684,1248,79.0,1.2872699655585567,20.949284627149368,44.7121,-66.8019,GRAND MANAN SAR CS,1.1511976214434394,76.58966064453125
686,854,74.0,1.3834345065619407,3.5392528701002495,48.7611,-91.6281,ATIKOKAN (AUT),1.020155846083269,80.95769500732422
687,1033,74.0,1.4619087606708314,11.451268098154415,47.6975,-79.84945,EARLTON AWOS COMPOSITE,1.0354416387214012,79.7625503540039
687,1171,78.0,1.457289482635501,17.54437759271552,46.0492,-71.2661,THETFORD MINES RCS,1.1277005123333783,77.19581604003906
687,1274,81.0,1.434103189847353,22.120804518571795,44.4031,-65.2031,KEJIMKUJIK 1,1.09980024935485,82.19854736328125
688,1150,74.0,1.4756375012611829,16.62712774062688,46.3536,-72.5161,TROIS-RIVIERES,1.046010867476799,78.95660400390625
689,766,76.0,1.5321233667437582,-0.36729378923272993,49.0308,-97.56,GRETNA (AUT),1.0710819506025822,79.19245910644531
689,795,76.0,1.5318919790453405,0.9194384967178424,49.0236,-95.5983,SPRAGUE,1.0640890439136133,79.712890625
689,1157,77.0,1.5250089118547172,16.941728866058813,46.3036,-72.0608,LEMIEUX,1.09782764977307,78.2797622680664
691,1146,73.0,1.629841227873155,16.420695952523612,46.5633,-72.7333,SHAWINIGAN,1.0466906732409158,77.83903503417969
691,1237,75.0,1.6361428911410414,20.468694806801608,45.21345,-67.25145,ST. STEPHEN COMPOSITE,1.1189553686543485,74.8068618774414
693,746,78.0,1.7062631912498636,-1.2453482523306831,49.191,-98.9049,PILOT MOUND (AUT),1.0977011724011294,79.3055191040039
693,758,73.0,1.692542360181509,-0.7087051597006615,49.1876,-98.0839,MORDEN CDA CS,1.0292007971333332,79.16180419921875
693,871,76.0,1.713228400126756,4.279978525302254,49.0333,-90.4667,UPSALA (AUT),1.0394423841250706,81.60299682617188
693,1177,76.0,1.7124441297757003,17.80970706466286,46.205,-70.785,BEAUCEVILLE,1.0935316674966922,77.5666732788086
693,1250,80.0,1.7154081076878958,21.04652747769824,45.0731,-66.4492,POINT LEPREAU CS,1.155897801489217,77.2437744140625
694,921,71.0,1.7310415759976887,6.503382184276376,48.8167,-87.1,TERRACE BAY A,0.9904352662569604,80.00648498535156
696,649,72.0,1.8530276791510933,-5.551048048175222,49.05,-105.48299999999999,CORONACH SPC,1.0237515422548977,78.49298858642578
696,716,77.0,1.847991952515984,-2.6003980818173,49.2813,-100.986,MELITA,1.079135977212488,79.6356430053711
697,686,72.0,1.8662740844535828,-3.895667948011195,49.2167,-102.96700000000001,ESTEVAN A,1.0136191273366306,79.27762603759766
698,755,75.0,1.9070904135438949,-0.8589369087912421,49.3998,-98.3192,DEERWOOD RCS,1.0583325954791762,79.09190368652344
698,1156,76.0,1.912047650760465,16.87935615011807,46.6908,-71.9717,DESCHAMBAULT,1.0893664568955297,77.86325073242188
699,902,77.0,1.9686975720163602,5.651807495974578,49.1539,-88.3447,CAMERON FALLS (AUT),1.0629587035736892,80.84762573242188
700,618,69.0,2.0296618475819366,-6.918639867745951,49.0583,-107.586,VAL MARIE SOUTHEAST,0.9832061873273202,78.324462890625
700,642,69.0,2.0064448994585153,-5.860683129353336,49.1678,-105.979,ROCKGLEN (AUT),0.9776021468674213,78.77345275878906
700,759,78.0,2.002533166016492,-0.6691504847160616,49.4981,-98.0297,CARMAN U OF M CS,1.0997388360893725,79.15857696533203
701,1273,76.0,2.0477520185861904,22.08183244528817,44.9833,-64.9167,GREENWOOD A,1.018943233886154,83.24468994140625
702,1007,72.0,2.1028662985791216,10.272256140147682,48.5697,-81.3767,TIMMINS VICTOR POWER A,0.9817589197185883,81.85035705566406
702,1043,73.0,2.11790965152228,11.861579221272638,48.2458,-79.0342,ROUYN,1.003615880274922,81.17985534667969
702,1046,72.0,2.120200427078108,11.998605728555281,48.2167,-78.8333,ROUYN A,0.9902521701279569,81.1483383178711
702,1256,76.0,2.0923818993230565,21.32172942210499,45.3181,-65.8856,SAINT JOHN A,1.0495821241525922,80.81465148925781
702,1297,78.0,2.0884435395051537,23.135648831882524,44.6,-63.5333,MCNABS ISLAND (AUT),1.0354812466289207,84.0708236694336
703,1062,73.0,2.1295758090215102,12.715646487269279,48.0564,-77.7867,VAL-D'OR A,0.9746714414303035,83.59062194824219
703,1164,73.0,2.1447730555135602,17.22765924548009,46.8018,-71.3825,QUEBEC/JEAN LESAGE INTL A COMPOSITE,1.0037419092244493,81.16966247558594
703,1165,74.0,2.14518437871605,17.296210159902433,46.7803,-71.2875,STE-FOY (U. LAVAL),1.0204063490184165,80.93782043457031
703,1297,80.0,2.1285083347995943,23.143751611246888,44.6333,-63.5,SHEARWATER A,1.0639962152509082,83.9156265258789
704,1161,74.0,2.2118538692095133,17.117909468307342,46.9003,-71.5033,VALCARTIER A,1.014112620839604,81.44013214111328
705,1279,76.0,2.245163530071908,22.330642996726787,45.0667,-64.4833,KENTVILLE CDA CS,1.0108035726634257,83.91503143310547
707,813,69.0,2.3191516259454263,1.7019727769211224,49.7903,-94.3653,KENORA A,0.9638509497238662,79.89730834960938
708,576,66.0,2.3773939182474364,-8.775282388866069,49.1167,-110.46700000000001,ONEFOUR CDA,0.9340425310345718,78.86244201660156
708,675,76.0,2.392352772509108,-4.39599211308612,49.7,-103.8,WEYBURN,1.067752653785694,79.43938446044922
708,1295,78.0,2.353824406162802,23.043207937173968,44.88,-63.5,HALIFAX STANFIELD INT'L A,1.029828342026621,84.53230285644531
709,740,78.0,2.4288455569653005,-1.5193890618839296,49.9058,-99.3574,CARBERRY CS,1.1038203916314613,78.86587524414062
709,756,74.0,2.4082966955206366,-0.8221754174048094,49.90155,-98.2754,PORTAGE SOUTHPORT A COMPOSITE,1.046520425542729,78.91815948486328
709,771,73.0,2.4169256900823712,-0.15035553299554535,49.9167,-97.2333,WINNIPEG RICHARDSON INT'L A,1.023310293422114,79.61748504638672
709,836,70.0,2.408289044403697,2.742262906325916,49.8333,-92.75,DRYDEN A,0.9641285943382307,81.03189849853516
709,1139,73.0,2.4266194219063992,16.12848954456477,47.4111,-72.7875,LA TUQUE,1.05178894116816,77.46173095703125
709,1242,72.0,2.4355673986902304,20.695842322706284,45.8721,-66.5279,FREDERICTON A,1.0338765296796453,77.72428894042969
709,1244,74.0,2.4251909320456875,20.7588346149772,45.8389,-66.4497,GAGETOWN AWOS A,1.0750278949328476,76.8254165649414
710,732,73.0,2.4461289022730366,-1.9022360052764455,49.91,-99.9519,BRANDON A,1.032617845040276,78.89984893798828
710,1241,74.0,2.4592027999967008,20.625475230667618,45.9203,-66.6089,FREDERICTON CDA CS,1.0613663744612991,77.81428527832031
712,559,63.0,2.53608277470264,-9.53527615286293,49.1367,-111.652,MASINASIN AGDM,0.89594239895484,78.47898864746094
712,599,68.0,2.537436513099903,-7.770754446701081,49.4378,-108.98899999999999,EASTEND CYPRESS (AUT),0.95989952220922,79.06350708007812
712,644,71.0,2.5616572968723665,-5.774769190126448,49.7292,-105.946,ASSINIBOIA AIRPORT,1.0020816134369215,79.0766372680664
712,1109,78.0,2.554484863956163,14.795047971056874,47.9222,-74.6242,PARENT,1.0791070420359588,80.67203521728516
712,1355,84.0,2.558199415687226,25.705259485464225,43.9322,-60.0094,SABLE ISLAND,1.0830338985843988,86.56257629394531
713,542,64.0,2.5989722452603856,-10.301243442057203,49.05,-112.81700000000001,DEL BONITA AGDM,0.8969647267431126,79.63381958007812
713,553,66.0,2.5820012344151984,-9.791876818087163,49.1333,-112.05,MILK RIVER,0.938180664562779,78.51459503173828
713,1268,79.0,2.605983214039064,21.81846865676879,45.6,-64.95,FUNDY PARK (ALMA) CS,1.097925680676075,80.30583190917969
713,1278,80.0,2.601610143838706,22.28150390075132,45.4133,-64.3461,PARRSBORO,1.0816363759158367,82.54706573486328
715,754,78.0,2.69047932872118,-0.8860081616431726,50.1826,-98.3822,DELTA MARSH CS,1.1061468390699731,78.70000457763672
715,788,74.0,2.6808083374383638,0.5996210592201111,50.1772,-96.0647,PINAWA,1.0328485111245274,79.96280670166016
715,921,73.0,2.703334463357099,6.489334819136607,49.7828,-86.9306,GERALDTON A,0.9982889360576169,81.613037109375
715,1163,80.0,2.6894220377912768,17.21183514335496,47.3228,-71.1483,FORET MONTMORENCY RCS,1.1034165872232422,80.91767883300781
716,848,72.0,2.724053173483273,3.2714077284853,50.1167,-91.9,SIOUX LOOKOUT A,0.9968026322761784,80.61507415771484
716,1309,82.0,2.745014568619623,23.65676532780182,44.9833,-62.4833,MALAY FALLS,1.0738211988775774,85.22653198242188
717,592,68.0,2.791091450100094,-8.07580326635713,49.6406,-109.514,CYPRESS HILLS PARK,0.9570922518820021,79.29541015625
717,987,74.0,2.791706214675361,9.415332080574757,49.41015,-82.45555,KAPUSKASING A COMPOSITE,1.0118719939934886,81.62046813964844
717,1171,78.0,2.765421761788179,17.55235818730697,47.2842,-70.6375,CHARLEVOIX (MRC),1.0773054275923841,80.80694580078125
718,528,61.0,2.812988203747359,-10.92062877066302,49.1311,-113.809,WATERTON PARK GATE,0.8309700997118344,81.92894744873047
718,536,63.0,2.8090390132346363,-10.571265786085739,49.2006,-113.286,CARDSTON,0.8780255159150129,80.0804214477539
718,1298,80.0,2.804635508720081,23.185237070177262,45.2331,-63.0553,UPPER STEWIACKE RCS,1.0589278171523206,84.31727600097656
719,563,65.0,2.856562528174021,-9.3643909618418,49.4833,-111.486,FOREMOST AGDM,0.9252136813158396,78.40869903564453
719,1291,78.0,2.853505215275901,22.845728161553936,45.4167,-63.4667,DEBERT,1.046794533670015,83.16222381591797
720,1161,80.0,2.8986000488602337,17.08311893214299,47.5622,-71.2289,L'ETAPE,1.0803891902747909,82.6423568725586
721,554,64.0,2.9502621245868705,-9.764270125749597,49.5,-112.117,WRENTHAM AGDM,0.9138900234496684,78.15899658203125
721,961,76.0,2.9296590159790448,8.264570518409494,49.7468,-84.1637,NAGAGAMI (AUT),1.0688221658633217,79.35989379882812
721,1276,79.0,2.9483979876506776,22.21049334934004,45.7596,-64.2414,NAPPAN AUTO,1.089983061074055,80.8910140991211
722,694,73.0,2.995535908365118,-3.5550168868492085,50.3681,-102.571,BROADVIEW,1.0091968865254182,80.73091888427734
722,723,79.0,3.008132497519388,-2.2962437089641146,50.4549,-100.603,SHOAL LAKE CS,1.0972180970345633,80.35762023925781
722,760,79.0,3.003904372048266,-0.6603151832297092,50.4995,-98.0367,OAKPOINT MARINE,1.1109728897811961,79.36272430419922
723,594,68.0,3.044682502865987,-8.003292419347964,49.9025,-109.46600000000001,MAPLE CREEK,0.9597019884862599,79.07978057861328
724,564,67.0,3.098854685759743,-9.295091002394907,49.7342,-111.45,BOW ISLAND,0.9549735921832795,78.3026351928711
724,891,74.0,3.0628319237385395,5.168523459661336,50.2936,-88.9053,ARMSTRONG (AUT),1.0147229078087463,81.39115142822266
725,541,66.0,3.1357359907382967,-10.345348538815898,49.5667,-113.05,BLOOD TRIBE AGDM,0.9323586015930502,79.00487518310547
725,651,71.0,3.1327570583551307,-5.455457263620255,50.3325,-105.5525,MOOSE JAW A COMPOSITE,0.9974370841478191,79.44485473632812
725,774,76.0,3.132752498545924,-0.015706259812682064,50.63275,-97.024725,GIMLI COMPOSITE,1.059082689192792,80.0896987915039
725,1267,77.0,3.143485364303546,21.790230230835956,46.1053,-64.6838,MONCTON A,1.0673071538751373,80.51823425292969
726,489,71.0,3.170292165436488,-12.649333957750157,49.0817,-116.501,CRESTON CAMPBELL SCIENTIFIC,0.9404194482568171,84.2615966796875
726,545,61.0,3.16518878430455,-10.173529005346774,49.6303,-112.8,LETHBRIDGE A,0.8671028329638986,78.5149154663086
726,664,71.0,3.1741915710209807,-4.882522538616095,50.4333,-104.667,REGINA RCS COMPOSITE,0.9880150246390373,80.20246887207031
726,732,76.0,3.190349735680813,-1.8675357401014678,50.655,-99.9419,WASAGAMING,1.0840039486642201,78.2484359741211
726,829,76.0,3.188937835040126,2.3995117841802442,50.6306,-93.2214,EAR FALLS (AUT),1.060394555998891,79.99061584472656
727,527,62.0,3.2197105976804745,-10.956741179292218,49.5206,-113.99700000000001,PINCHER CREEK (AUT),0.8457280638217451,81.8189468383789
727,545,63.0,3.2174458259035728,-10.135335810670703,49.68915,-112.7585,LETHBRIDGE CDA COMPOSITE,0.8955943965925764,78.50948333740234
727,556,66.0,3.2342346610466,-9.653124284583603,49.8,-112.03299999999999,FINCASTLE AGDM,0.943190881945766,78.09752655029297
727,566,67.0,3.221146255468036,-9.228122352966734,49.8667,-111.383,BOW ISLAND IRRIGATION AGDM,0.9538730855319688,78.39297485351562
727,573,68.0,3.2161300997674656,-8.923334960260773,49.9167,-110.917,SEVEN PERSONS AGDM,0.9637312865843977,78.74915313720703
727,679,77.0,3.2308577774768055,-4.226503991244114,50.55,-103.65,INDIAN HEAD CDA,1.0629809726020536,80.84593200683594
728,553,66.0,3.267530353212105,-9.822486970496383,49.8,-112.3,BARNWELL AGDM,0.9416659319946479,78.2239990234375
728,620,71.0,3.239737027524128,-6.847848201400332,50.2667,-107.73299999999999,SWIFT CURRENT CDA,1.0008705915910965,79.17231750488281
728,621,68.0,3.2683382675249013,-6.811573228356857,50.3,-107.68299999999999,SWIFT CURRENT A,0.9585174753567433,79.17750549316406
728,738,72.0,3.238015104367025,-1.604296915523847,50.7119,-99.53,MCCREARY,1.0273540902838127,78.21774291992188
729,530,61.0,3.2884978068758692,-10.821872555980061,49.6167,-113.81700000000001,BROCKET AGDM,0.8406250132153792,80.98796081542969
729,576,63.0,3.2973173390410704,-8.779173353024989,50.022,-110.719,MEDICINE HAT A COMPOSITE,0.8913699502903975,78.88156127929688
729,1213,76.0,3.3020657185607187,19.387549788287743,47.1578,-67.8319,ST LEONARD A COMPOSITE,1.0865401535487054,78.06578826904297
731,471,69.0,3.4054207760822335,-13.42696425884179,49.1119,-117.73899999999999,WARFIELD RCS,0.9309489970494809,82.7210693359375
731,1299,79.0,3.3983083590013163,23.20151034990656,45.7667,-62.6833,CARIBOU POINT (AUT),1.0824193797241866,81.45626068115234
732,547,67.0,3.420719141938451,-10.076854080447603,49.9,-112.73299999999999,IRON SPRINGS AGDM,0.9541925388381872,78.36672973632812
732,1203,75.0,3.424540786966939,18.982279408560863,47.4167,-68.3245,EDMUNDSTON,1.0859162247723413,77.08287048339844
732,1263,77.0,3.419170347604767,21.608220895106566,46.4303,-64.7681,BUCTOUCHE CDA CS,1.083194583072629,79.3372573852539
733,556,70.0,3.4919469342595337,-9.668283227416524,50.05,-112.133,VAUXHALL CDA CS,0.9986589652548457,78.2300796508789
734,586,68.0,3.5091253913682428,-8.33325931119791,50.3069,-110.09100000000001,SCHULER AGDM,0.9647509206226823,78.66592407226562
734,1183,75.0,3.5026325469840005,18.071611554798213,47.8058,-69.5486,RIVIERE-DU-LOUP,1.062077264348775,78.81304168701172
734,1327,82.0,3.527571178938827,24.45827343914825,45.35,-60.9833,HART ISLAND (AUT),1.0578213229184312,86.51560974121094
735,474,66.0,3.5652891404836695,-13.311122271809033,49.2964,-117.632,CASTLEGAR A,0.8889084463165494,82.86666107177734
735,502,65.0,3.5715594149337595,-12.06538588634602,49.6122,-115.78200000000001,CRANBROOK A,0.8469363191662567,85.65555572509766
735,515,66.0,3.5657829046224143,-11.467856191599479,49.74515,-114.8835,SPARWOOD COMPOSITE,0.8773706755447541,83.95639038085938
735,767,72.0,3.584645139984343,-0.3490100752920779,51.0834,-97.5545,FISHER BRANCH (AUT),1.0044448276802709,80.00172424316406
735,1139,70.0,3.5858890255644726,16.122340479606144,48.5167,-72.2667,ROBERVAL A,0.9812833389221712,79.61530303955078
735,1315,81.0,3.5504531204191316,23.905245644814915,45.6084,-61.6797,TRACADIE,1.0829597805240558,83.47676849365234
736,446,64.0,3.6280316709637113,-14.524794319905412,49.0283,-119.441,OSOYOOS CS,0.8523881003218609,83.7983627319336
736,540,67.0,3.6081148703473227,-10.361061959962385,50.0258,-113.22399999999999,BARONS AGCM,0.9486584353644554,78.82389068603516
736,820,72.0,3.6085516827729736,2.018623133323337,51.0669,-93.7931,RED LAKE A,1.0109684074678948,79.48548889160156
736,1157,74.0,3.6254941753179493,16.906447140250897,48.3072,-71.1292,LATERRIERE,1.0362874491310246,79.69744873046875
736,1281,80.0,3.631858308369431,22.414812996378107,46.3028,-63.5756,MAPLE PLAINS,1.1166497716475907,79.958740234375
737,534,63.0,3.6421323328406863,-10.62702051987502,50.0036,-113.639,CLARESHOLM,0.8838312178291332,79.55438995361328
737,552,68.0,3.6601523349675427,-9.83133103464756,50.1833,-112.43299999999999,ENCHANT AGDM,0.9698960948164257,78.24861145019531
737,563,67.0,3.6503923431492087,-9.35506824693227,50.265,-111.70100000000001,ROLLING HILLS AGCM,0.9533120530826289,78.4391098022461
737,731,71.0,3.637650982133446,-1.9186062210436028,51.1,-100.05,DAUPHIN A,1.0045882541220317,78.87932586669922
737,1158,74.0,3.677953743438618,16.97946760951628,48.3333,-71.0,BAGOTVILLE A,1.0371451753387813,79.63153839111328
737,1160,76.0,3.662019493356082,17.041652278761006,48.2981,-70.9195,LA BAIE,1.0677785989208106,79.43745422363281
737,1256,78.0,3.6767683756974234,21.31198319515317,46.7833,-65.0167,KOUCHIBOUGUAC CS,1.1263891278171756,77.28569030761719
738,1276,78.0,3.684710788877479,22.195185432129644,46.44,-63.8349,SUMMERSIDE COMPOSITE,1.086377990685463,80.13211059570312
739,713,78.0,3.760196423505861,-2.739158794258717,51.1833,-101.363,ROBLIN,1.0765196511281316,80.86592864990234
739,1155,74.0,3.7341605230781916,16.86002063192468,48.425,-71.1425,JONQUIERE,1.0282571615482943,80.31985473632812
739,1248,74.0,3.765619739795685,20.940153426022277,47.00945,-65.4664,MIRAMICHI RCS COMPOSITE,1.0823617607837712,76.30486297607422
739,1287,78.0,3.745334014783396,22.703007279034583,46.2886,-63.1286,CHARLOTTETOWN A,1.083170579049195,80.36939239501953
740,1052,72.0,3.7814550733955166,12.289198024598608,49.76225,-77.8049,MATAGAMI COMPOSITE,0.9460485794243652,84.93994903564453
740,1171,74.0,3.802860285901953,17.561084638260063,48.2603,-70.1144,POINTE CLAVEAU,1.0946072404872653,75.45123291015625
