ilocy,ilocx,TJan1.0 (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals
552,1011,254.74999999999997,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA AUTO,0.9884156552017233,256.10345458984375
558,1009,254.14999999999998,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,0.9888879677368189,255.37823486328125
560,1026,256.04999999999995,-4.166609944802487,11.147744256566659,42.2501,-81.9001,ERIEAU (AUT),0.9929910112963383,256.22430419921875
565,1026,251.34999999999997,-3.96806270606981,11.12134986160888,42.45,-81.8833,RIDGETOWN RCS,0.9769906844341404,255.6403045654297
580,1035,252.04999999999998,-3.2901926502243564,11.534742416339043,43.0332,-81.15055,LONDON CS COMPOSITE,0.9845748365851702,254.37757873535156
587,1054,252.64999999999998,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,0.991421265344538,253.2222900390625
590,1054,253.24999999999997,-2.847748537093577,12.367862378820393,43.2917,-79.9083,HAMILTON RBG CS,0.9948173439277893,252.9571533203125
590,1063,256.34999999999997,-2.87199134716758,12.753426345960174,43.1833,-79.4,VINELAND STATION RCS,1.0029145825833832,253.98626708984375
595,1023,253.95,-2.652732378466715,10.985487811987579,43.7667,-81.7167,GODERICH,0.9882919452531129,255.33116149902344
599,1061,254.24999999999997,-2.437739396813662,12.657206982834726,43.62805,-79.39555,TORONTO ISLAND A COMPOSITE,1.0010408793359848,252.37713623046875
600,1057,251.74999999999997,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,0.992809127499561,251.967529296875
600,1060,253.74999999999997,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO CITY,0.9995100840722712,252.26658630371094
603,1037,249.24999999999997,-2.300804570575231,11.625346633334846,43.9833,-80.75,MOUNT FOREST (AUT),0.981492932295551,252.3415985107422
605,1060,250.24999999999997,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,0.9889985365772199,251.4312744140625
611,1078,251.24999999999997,-1.9198534980984727,13.446682564305245,43.95,-78.1667,COBOURG (AUT),0.9944993198390056,251.0397186279297
613,1095,250.84999999999997,-1.8540076319615553,14.186073428531435,43.8333,-77.15,POINT PETRE (AUT),0.9914685007375149,251.40623474121094
616,1043,252.41299999999998,-1.7154697341383163,11.8907013659687,44.5,-80.2167,COLLINGWOOD,0.9949666700257888,252.08328247070312
617,1087,248.26299999999998,-1.647919910661428,13.848380542642577,44.1167,-77.5333,TRENTON A,0.9847556674005501,250.5095977783203
618,1028,252.24999999999997,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,WIARTON A,0.9900884248374119,253.16172790527344
618,1054,245.34999999999997,-1.628527286900477,12.358775206404447,44.4833,-79.55,BARRIE-ORO,0.977811152368747,249.32850646972656
620,1059,246.14999999999998,-1.5131887286064079,12.576260729874983,44.5472,-79.2167,LAGOON CITY,0.9827462615777287,248.8853302001953
635,1042,245.24999999999997,-0.864689730664254,11.829329505586019,45.3442,-80.0442,PARRY SOUND CCG,0.9859686422581572,247.16488647460938
639,1000,246.04999999999998,-0.6883970505338951,9.992710779507949,45.8833,-82.5667,GORE BAY A,0.988061079838798,247.4459991455078
644,1017,247.54999999999998,-0.46295019102332147,10.716661964189273,45.9667,-81.4833,KILLARNEY (AUT),1.0001663043498925,245.9413604736328
645,1068,239.64999999999998,-0.39870248083069254,13.001626368921663,45.5333,-78.2667,ALGONQUIN PARK EAST GATE,0.9708572407193863,245.2804412841797
647,968,245.14999999999998,-0.3282026503152139,8.56463998274487,46.4833,-84.5094,SAULT STE MARIE A,0.9776359000312518,249.169921875
651,1109,246.24999999999997,-0.14229068458931268,14.818651720335906,45.3225,-75.6692,OTTAWA MACDONALD-CARTIER INT'L A,0.9920896095968837,246.6415252685547
653,1132,245.95,-0.06746642402228695,15.808409118577105,45.1208,-74.2894,ST-ANICET 1,0.9887576138878859,247.1711883544922
657,1141,245.51199999999997,0.1010906457365428,16.207356591627608,45.1672,-73.6789,STE-CLOTILDE,0.9869774703886317,247.176025390625
658,1081,241.24999999999997,0.16636607784747412,13.543748046258958,45.95,-77.3167,PETAWAWA A,0.9799865208177879,244.61781311035156
658,1154,245.74999999999997,0.14685930964715913,16.805827936033086,45.0333,-72.85,FRELIGHSBURG,0.9890831267905393,246.888916015625
660,1046,242.34999999999997,0.2247059616752298,12.02855117692835,46.3636,-79.4228,NORTH BAY A,0.9924029173881252,242.65869140625
661,1024,242.45,0.27785930544065024,11.04782465123829,46.6256,-80.7978,SUDBURY A,0.9955197322870883,241.998779296875
661,1135,247.74999999999997,0.29875596700283863,15.963370852402406,45.4272,-73.9292,STE-ANNE-DE-BELLEVUE 1,0.9998482717363254,246.21835327148438
661,1145,247.24999999999997,0.2903801318541239,16.391939646159297,45.2939,-73.3494,L'ACADIE,0.9975173026058622,246.29563903808594
663,1107,244.45,0.3596178026937318,14.694185981330756,45.8394,-75.6481,HIGH FALLS,0.9909362148631834,245.12364196777344
663,1138,247.34999999999997,0.3730154780297401,16.072237754624673,45.4667,-73.75,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,0.9993826820075961,245.9353485107422
664,1140,249.24999999999997,0.4443307640007551,16.175667448413403,45.5047,-73.5792,MCTAVISH,1.0076442207942118,245.7926025390625
666,1132,244.54999999999998,0.5070676872066261,15.82450983689447,45.6667,-74.0333,MONTREAL/MIRABEL INT'L A,0.9890509591650938,245.69134521484375
666,1142,246.64999999999998,0.4892824791896059,16.280985270212184,45.5167,-73.4167,MONTREAL/ST-HUBERT A,0.9979406713807336,245.59371948242188
668,1049,244.34999999999997,0.6116695306403618,12.166449577432108,46.7097,-79.1011,BARRAGE TEMISCAMINGUE,1.0022834026238003,242.24937438964844
669,1266,257.45,0.6616967255468574,21.753266688790557,43.8308,-66.0886,YARMOUTH A,0.9860581738747138,259.43658447265625
670,1167,244.54999999999998,0.6886805319462729,17.390734475406397,45.3689,-71.8236,LENNOXVILLE,0.9888515506962663,245.7408905029297
671,1099,242.45,0.7156331962537236,14.348255532286624,46.2747,-75.9919,MANIWAKI AIRPORT,0.9880931614166427,243.81765747070312
672,1140,244.64999999999998,0.7652575197208127,16.182646599358296,45.8094,-73.4347,L'ASSOMPTION,0.9917877096081409,245.1135711669922
672,1169,241.34999999999997,0.7807929838028224,17.463999638422727,45.4333,-71.6833,SHERBROOKE A,0.9764132663640733,245.61477661132812
673,1122,239.64999999999998,0.8000267506142459,15.358025625125332,46.0803,-74.5558,ST-JOVITE,0.9737675122475434,244.54737854003906
673,1126,242.64999999999998,0.8244980392844867,15.547958374592634,46.05,-74.2833,STE AGATHE DES MONTS,0.9844952592750569,244.9105682373047
677,1258,259.10699999999997,1.0130631992300436,21.40976422531739,44.2858,-66.3467,BRIER ISLAND,0.9941507059142639,258.9809265136719
679,959,239.54999999999998,1.1072814606393633,8.146944438375767,47.9667,-84.7833,WAWA (AUT),0.9904964525696065,240.31678771972656
680,890,240.74999999999997,1.1206948848156557,5.08967868562008,48.3694,-89.3272,THUNDER BAY A COMPOSITE,0.9894741109369919,241.77017211914062
682,1145,246.45,1.2293698580048833,16.414836345231127,46.1833,-72.9167,LAC SAINT-PIERRE,1.002814320423893,244.20196533203125
682,1286,255.45,1.2052549376769126,22.638199832678378,43.99,-64.6642,WESTERN HEAD,0.9834699936335072,258.0986022949219
684,1149,244.95,1.324199050408167,16.57320591671965,46.2258,-72.6572,NICOLET,0.9966558994193965,244.2154083251953
684,1248,252.91599999999997,1.2872699655585567,20.949284627149368,44.7121,-66.8019,GRAND MANAN SAR CS,0.9953410054187709,252.49063110351562
687,1274,253.84999999999997,1.434103189847353,22.120804518571795,44.4031,-65.2031,KEJIMKUJIK 1,0.9789944418950877,257.654541015625
688,1150,246.45,1.4756375012611829,16.62712774062688,46.3536,-72.5161,TROIS-RIVIERES,1.0035087621667174,244.03297424316406
689,766,239.34999999999997,1.5321233667437582,-0.36729378923272993,49.0308,-97.56,GRETNA (AUT),0.9932237880930329,239.45680236816406
689,795,236.14999999999998,1.5318919790453405,0.9194384967178424,49.0236,-95.5983,SPRAGUE,0.9811486246870879,239.1630096435547
689,1157,240.23299999999998,1.5250089118547172,16.941728866058813,46.3036,-72.0608,LEMIEUX,0.9781424174006508,244.0458526611328
690,934,243.14999999999998,1.574749328215675,7.060568712750296,48.5883,-86.2947,PUKASKWA (AUT),1.0045744197747897,240.5099334716797
692,1288,257.04999999999995,1.649603054462942,22.733902481009608,44.36,-64.2961,LUNENBURG,0.9955724790257131,256.5580139160156
693,746,239.54999999999998,1.7062631912498636,-1.2453482523306831,49.191,-98.9049,PILOT MOUND (AUT),0.9928800858293862,239.73985290527344
693,758,242.95,1.692542360181509,-0.7087051597006615,49.1876,-98.0839,MORDEN CDA CS,1.0074836314782811,239.61817932128906
