ilocy,ilocx,RL50 (mm),rlat,rlon,lat,lon,station_name,ratio,model_vals
547,1016,105.3124366,-4.767092824787432,10.668510108732876,41.75,-82.6833,PELEE ISLAND,1.0961779929922073,114.58644104003906
552,1011,94.78157219,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA,0.9906419858589346,114.11476135253906
552,1017,123.17880430000001,-4.547676802314419,10.753981582871328,41.95,-82.5167,POINT PELEE,1.290760012667339,113.82171630859375
553,1007,110.595945,-4.47465878931522,10.302673296791056,42.1034,-83.0945,AMHERSTBURG,1.1473968937440484,114.96355438232422
553,1015,95.96682258,-4.477660518786257,10.621608106478561,42.0431,-82.6739,KINGSVILLE MOE,1.0112248967768658,113.18998718261719
554,1015,102.4692776,-4.465352648448044,10.650069453775656,42.05,-82.6333,LEAMINGTON,1.0838817807162155,112.75775146484375
557,1013,105.7231885,-4.315023156750626,10.546375569046994,42.2167,-82.7333,WOODSLEE CDA,1.1268118030578658,111.90603637695312
558,1009,94.80159353,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,0.9997508648762546,113.09893035888672
559,1009,125.42394159999999,-4.227125340313413,10.379271031382924,42.3333,-82.9333,WINDSOR RIVERSIDE,1.3239651674271633,112.98961639404297
563,1021,84.88328873,-4.067718587818272,10.896249612482213,42.395,-82.20765,CHATHAM composite,0.9234235321198527,109.63668823242188
565,1026,107.58261409999999,-3.96806270606981,11.12134986160888,42.45,-81.8833,RIDGETOWN,1.171496910798621,109.53063201904297
566,1017,82.44394918,-3.9093526483320606,10.721195665538803,42.5833,-82.4,WALLACEBURG,0.8928349858034457,110.13420867919922
567,1020,95.32056669,-3.8794158185025394,10.878279682455496,42.5833,-82.1833,DRESDEN,1.0386891404454137,109.45501708984375
567,1030,86.21854855,-3.8693765104235194,11.288043481065609,42.5145,-81.6361,NEW GLASGOW,0.9415071509355094,109.22240447998047
570,1015,88.55821533,-3.7389697267318867,10.650108734817504,42.7639,-82.4517,COURTRIGHT,0.9600020963175553,110.02498626708984
572,1036,95.18956655,-3.6589521565058734,11.56107030925312,42.6667,-81.2167,PORT STANLEY,1.0455021590598992,108.5923080444336
