ilocy,ilocx,TJan2.5 (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals
552,1011,257.34999999999997,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA AUTO,0.9909078742086833,258.8228759765625
558,1009,256.54999999999995,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,0.9907281864845503,258.0650939941406
560,1026,258.15,-4.166609944802487,11.147744256566659,42.2501,-81.9001,ERIEAU (AUT),0.9942218523758084,258.7620544433594
565,1026,253.85249999999996,-3.96806270606981,11.12134986160888,42.45,-81.8833,RIDGETOWN RCS,0.979608677743773,258.2501525878906
580,1035,254.24999999999997,-3.2901926502243564,11.534742416339043,43.0332,-81.15055,LONDON CS COMPOSITE,0.9861929526310337,256.9276428222656
587,1054,254.64999999999998,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,0.9914198256123298,255.9751739501953
590,1054,255.64999999999998,-2.847748537093577,12.367862378820393,43.2917,-79.9083,HAMILTON RBG CS,0.9964888166105167,255.67315673828125
590,1063,257.84999999999997,-2.87199134716758,12.753426345960174,43.1833,-79.4,VINELAND STATION RCS,1.001001039816317,256.7109375
595,1023,256.45,-2.652732378466715,10.985487811987579,43.7667,-81.7167,GODERICH,0.9924903038083742,257.5065002441406
599,1061,256.54999999999995,-2.437739396813662,12.657206982834726,43.62805,-79.39555,TORONTO ISLAND A COMPOSITE,1.0019458564990227,255.1758270263672
600,1057,254.04999999999998,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,0.9938514611629959,254.7472381591797
600,1060,256.04999999999995,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO CITY,1.0004287559148235,255.06471252441406
603,1037,252.14999999999998,-2.300804570575231,11.625346633334846,43.9833,-80.75,MOUNT FOREST (AUT),0.9857187734313216,254.9281005859375
605,1060,252.84999999999997,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,0.990841294255487,254.314208984375
611,1078,253.45,-1.9198534980984727,13.446682564305245,43.95,-78.1667,COBOURG (AUT),0.994377404694093,254.01116943359375
613,1095,253.14999999999998,-1.8540076319615553,14.186073428531435,43.8333,-77.15,POINT PETRE (AUT),0.9921969848852666,254.26805114746094
616,1043,254.84999999999997,-1.7154697341383163,11.8907013659687,44.5,-80.2167,COLLINGWOOD,0.9973778836578241,254.64588928222656
617,1087,250.74999999999997,-1.647919910661428,13.848380542642577,44.1167,-77.5333,TRENTON A,0.9857560770858622,253.50308227539062
618,1028,254.34999999999997,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,WIARTON A,0.9916709943561858,255.60885620117188
618,1054,248.28249999999997,-1.628527286900477,12.358775206404447,44.4833,-79.55,BARRIE-ORO,0.9802371904833066,252.4217071533203
620,1059,248.64999999999998,-1.5131887286064079,12.576260729874983,44.5472,-79.2167,LAGOON CITY,0.9830777991899338,252.06488037109375
635,1042,247.54999999999998,-0.864689730664254,11.829329505586019,45.3442,-80.0442,PARRY SOUND CCG,0.9850694921982556,250.4423828125
639,1000,248.14999999999998,-0.6883970505338951,9.992710779507949,45.8833,-82.5667,GORE BAY A,0.9875557345174181,250.4173583984375
644,1017,249.54999999999998,-0.46295019102332147,10.716661964189273,45.9667,-81.4833,KILLARNEY (AUT),0.9982030946819345,249.1439971923828
645,1068,242.18499999999997,-0.39870248083069254,13.001626368921663,45.5333,-78.2667,ALGONQUIN PARK EAST GATE,0.9711735094565471,248.52047729492188
647,968,248.34999999999997,-0.3282026503152139,8.56463998274487,46.4833,-84.5094,SAULT STE MARIE A,0.9821512800747371,251.99826049804688
651,1109,248.34999999999997,-0.14229068458931268,14.818651720335906,45.3225,-75.6692,OTTAWA MACDONALD-CARTIER INT'L A,0.9912823250155104,249.67701721191406
653,1132,248.14999999999998,-0.06746642402228695,15.808409118577105,45.1208,-74.2894,ST-ANICET 1,0.9883945057705035,250.20484924316406
657,1141,248.04999999999998,0.1010906457365428,16.207356591627608,45.1672,-73.6789,STE-CLOTILDE,0.9879044435128148,250.22808837890625
658,1081,243.74999999999997,0.16636607784747412,13.543748046258958,45.95,-77.3167,PETAWAWA A,0.980565882162251,247.73057556152344
658,1154,248.14999999999998,0.14685930964715913,16.805827936033086,45.0333,-72.85,FRELIGHSBURG,0.98934273455742,249.9650421142578
660,1046,244.84999999999997,0.2247059616752298,12.02855117692835,46.3636,-79.4228,NORTH BAY A,0.9916750285482522,246.0608367919922
661,1024,244.45,0.27785930544065024,11.04782465123829,46.6256,-80.7978,SUDBURY A,0.9930711674693038,245.31349182128906
661,1135,249.45,0.29875596700283863,15.963370852402406,45.4272,-73.9292,STE-ANNE-DE-BELLEVUE 1,0.9975602390816549,249.20465087890625
661,1145,249.04999999999998,0.2903801318541239,16.391939646159297,45.2939,-73.3494,L'ACADIE,0.9953324111770311,249.3619384765625
663,1107,246.74999999999997,0.3596178026937318,14.694185981330756,45.8394,-75.6481,HIGH FALLS,0.9906810036874346,248.2190399169922
663,1138,249.34999999999997,0.3730154780297401,16.072237754624673,45.4667,-73.75,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,0.9981866441241509,248.94842529296875
664,1140,250.84999999999997,0.4443307640007551,16.175667448413403,45.5047,-73.5792,MCTAVISH,1.0046850026190053,248.82611083984375
666,1132,246.45,0.5070676872066261,15.82450983689447,45.6667,-74.0333,MONTREAL/MIRABEL INT'L A,0.9878852633354588,248.61886596679688
