ilocy,ilocx,annual_rain (mm),rlat,rlon,lat,lon,station_name,ratio,model_vals
610,1058,643.0,-1.9837324663442533,12.525369102391949,44.1,-79.4333,SHARON,0.8827200911446023,844.834716796875
610,1069,794.0,-1.9506957967676675,13.034488807523276,44.0167,-78.7333,TYRONE,1.1150788334554216,825.8453369140625
610,1071,715.0,-1.9798754685787485,13.127739857564736,43.9667,-78.6167,ORONO,1.001041608050382,828.3954467773438
611,1033,811.0,-1.9208176300440867,11.431423879128285,44.395,-80.9056,CHATSWORTH,1.195922823391502,786.5050048828125
611,1053,662.0,-1.9211289341184725,12.318754222071837,44.2067,-79.6947,COOKSTOWN,0.9296616684201562,825.8798217773438
611,1068,769.0,-1.9456140465990561,12.98396334043673,44.0333,-78.8,BURKETON MCLAUGHLIN,1.0737932600781432,830.5952758789062
611,1076,686.0,-1.939784656908483,13.365091062940595,43.95,-78.2833,PORT HOPE,0.935872059357086,850.1419067382812
611,1078,771.0,-1.9064779158935732,13.431092717642924,43.9667,-78.1833,COBOURG STP,1.0509185077889436,850.881591796875
614,1050,653.0,-1.800398130737639,12.202123436529773,44.35,-79.8167,ESSA ONT HYDRO,0.928363909393558,815.7906494140625
614,1061,717.0,-1.7816353282292943,12.679022862516934,44.2625,-79.1614,UDORA,0.9718583463164064,855.6575317382812
615,1031,754.0,-1.7405275891997007,11.373576723747828,44.5833,-80.9333,OWEN SOUND MOE,1.1657024673519316,750.183349609375
615,1052,699.0,-1.7553657751343468,12.285118537724797,44.3758,-79.6897,BARRIE WPCC,0.9868267454418598,821.5236206054688
616,1039,698.0,-1.6839926466563786,11.687924428012861,44.5736,-80.4853,THORNBURY SLAMA,1.0393961750863714,778.857666015625
616,1051,663.0,-1.6950125327746375,12.21516992426389,44.45,-79.7667,MIDHURST,0.9424555855105387,815.8990478515625
616,1053,697.0,-1.7233069520001558,12.319592020167152,44.3995,-79.6328,SHANTY BAY,0.9828097289385797,822.521240234375
616,1093,774.0,-1.7207901030890773,14.101995143280261,43.9833,-77.2167,BLOOMFIELD,1.0568242664044503,849.4190063476562
617,1067,727.0,-1.638869579923607,12.955200183926335,44.3384,-78.7403,LINDSAY FROST,0.9902186940177563,851.5047607421875
617,1074,684.0,-1.6786484471005159,13.239909508912735,44.2333,-78.3667,PETERBOROUGH A,0.9358677784652467,847.667236328125
617,1086,721.0,-1.643577000572036,13.79787134082701,44.1333,-77.6,TRENTON ONT HYDRO,0.9887483275145454,845.7330322265625
617,1087,754.0,-1.647919910661428,13.848380542642577,44.1167,-77.5333,TRENTON A,1.0332392392493044,846.3582763671875
617,1091,808.0,-1.6694849297937964,14.02564779032217,44.052,-77.3017,MOUNTAINVIEW,1.1056042830592756,847.6087646484375
617,1094,729.0,-1.6734444404721234,14.151747243967074,44.0167,-77.1333,PICTON,0.9964038983296392,848.5469970703125
618,1028,738.0,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,WIARTON A,1.1399944232310264,750.82275390625
618,1073,705.0,-1.6032073730143017,13.197082143363279,44.3167,-78.4,PETERBOROUGH DOBBIN TS,0.9627327949918065,849.311767578125
618,1074,687.0,-1.6216103317267434,13.262919317046434,44.2833,-78.3167,PETERBOROUGH STP,0.9381953314692849,849.2728881835938
619,1089,736.0,-1.5905322191931184,13.936456970299941,44.1506,-77.3947,BELLEVILLE,1.0114051413460645,843.9883422851562
620,1074,701.0,-1.5377497104263818,13.254811521010158,44.3667,-78.3,PETERBOROUGH TRENT U,0.9537081748030338,852.484130859375
620,1082,684.0,-1.5168489583647542,13.6181487294707,44.3,-77.8,CAMPBELLFORD,0.9291511889292983,853.7947998046875
620,1086,730.0,-1.546624435914678,13.773362857051204,44.2333,-77.6,FRANKFORD MOE,1.0005016393289652,846.2308349609375
620,1098,756.0,-1.5414624437518731,14.327793343245277,44.1,-76.85,CRESSY,1.0187576190909993,860.6661376953125
621,1053,720.0,-1.482639995608944,12.333780086468824,44.6311,-79.5389,COLDWATER WARMINSTER,1.030287569885647,810.5089721679688
621,1055,738.0,-1.4773679676374207,12.421809471502018,44.6167,-79.4167,ORILLIA TS,1.0438395192645888,819.9859619140625
623,1047,712.0,-1.41144826521158,12.072602129751347,44.7578,-79.8753,MIDLAND WATER POLLUTION CONTROL PLANT,1.029528611567442,802.0941772460938
623,1102,789.0,-1.3803565049833204,14.473210899310928,44.2186,-76.5967,KINGSTON A,1.0550282044998476,867.3546752929688
624,1103,757.0,-1.3344650417683777,14.547086211470535,44.2439,-76.4806,KINGSTON PUMPING STATION,1.0074470387043923,871.4800415039062
626,1096,815.0,-1.2584926692926106,14.210738204995435,44.4034,-76.9078,CENTREVILLE,1.122514126610176,842.0726928710938
626,1100,787.0,-1.2409090641082363,14.421303583215595,44.3667,-76.6167,CATARAQUI TS,1.0685702450677597,854.19189453125
626,1102,868.0,-1.2516890253689585,14.510561931232607,44.3333,-76.5,GLENBURNIE,1.1702485048123297,860.25146484375
627,1099,801.0,-1.1950455367128394,14.354715693013972,44.4281,-76.6903,HARTINGTON IHD,1.0954009173450485,848.0924682617188
629,1055,786.0,-1.1177117079756498,12.424309244301325,44.9667,-79.3,MUSKOKA A,1.088312546766307,837.6309204101562
631,1064,796.0,-1.0562070565687953,12.833953903344092,44.9333,-78.7167,MINDEN,1.0989395559527115,840.0846557617188
632,1108,810.0,-0.9970343098368244,14.75008258088223,44.5167,-76.0833,LYNDHURST SHAWMERE,1.0936089811837166,859.02685546875
633,1053,885.0,-0.9711249001282717,12.318182553301423,45.1333,-79.4,BEATRICE 2,1.2038546822718545,852.6150512695312
633,1066,737.0,-0.9694185992946747,12.910286121011362,45.0,-78.5833,HALIBURTON A,1.024843036966159,834.0535278320312
633,1067,813.0,-0.929498972966488,12.938661086656456,45.0322,-78.5311,HALIBURTON 3,1.1334065194351715,831.9335327148438
634,1010,625.0,-0.9112210432501607,10.426027277235224,45.5833,-82.0167,SOUTH BAYMOUTH,0.9604934404013898,754.69140625
636,1114,800.0,-0.8378436542802289,15.014147783762358,44.6,-75.6667,BROCKVILLE PCC,1.0751004344193544,863.0277099609375
638,1055,729.0,-0.7230909401015673,12.429652369700507,45.35,-79.1667,HUNTSVILLE WPCP,0.9956766170721725,849.1668090820312
639,1000,614.0,-0.6883970505338951,9.992710779507949,45.8833,-82.5667,GORE BAY A,0.9534008349195073,746.9243774414062
640,1059,848.0,-0.6480473584073168,12.604555155685231,45.3833,-78.9,DWIGHT,1.1797982180349722,833.6272583007812
642,1043,822.0,-0.5742533922365206,11.880619147076752,45.6167,-79.8833,DUNCHURCH,1.133411456126039,841.1394653320312
642,1102,721.0,-0.5311247041004096,14.49877022431523,45.0322,-76.2528,DRUMMOND CENTRE,1.0254909245450363,815.4310302734375
643,1078,653.0,-0.5162651591519796,13.42837124304271,45.3167,-77.7167,PURDY,0.9922798052949084,763.2429809570312
644,1079,652.0,-0.4506207902516063,13.484330171813236,45.3667,-77.6167,COMBERMERE,1.0000849974485406,756.1265258789062
644,1112,731.0,-0.4461626144289343,14.929598665935082,45.0,-75.6333,KEMPTVILLE,1.010479008442139,839.0230102539062
644,1114,706.0,-0.4496347539430733,15.040747769215615,44.9667,-75.4833,SOUTH MOUNTAIN,0.9715691605050719,842.7810668945312
645,1119,789.0,-0.43427613707536233,15.253398110235178,44.9236,-75.1883,MORRISBURG,1.0771674299310185,849.5277709960938
646,1073,644.0,-0.3836766946566222,13.202421150283568,45.5,-77.9833,MADAWASKA,0.9883836675337312,755.6907348632812
647,968,644.0,-0.3282026503152139,8.56463998274487,46.4833,-84.5094,SAULT STE MARIE A,0.9786930449287368,763.1732788085938
647,1007,703.0,-0.313658385690148,10.304340206572224,46.1931,-82.0247,MASSEY,1.0724362731705448,760.2695922851562
649,971,672.0,-0.2593907095720563,8.67624129918577,46.5333,-84.3333,SAULT STE MARIE 2,1.0074389330259135,773.6318359375
649,1124,760.0,-0.25296375027185075,15.487079167723055,45.0333,-74.8,CORNWALL ONT HYDRO,1.0385332517628674,848.7445068359375
649,1125,780.0,-0.25988898011708267,15.52670054154102,45.0156,-74.7489,CORNWALL,1.06452119153088,849.8143920898438
650,1093,612.0,-0.1767276458478402,14.078064634363093,45.4833,-76.7,RENFREW,0.9190719118089498,772.2994384765625
650,1098,617.0,-0.1838318249350518,14.309865237758569,45.4167,-76.38335000000001,ARNPRIOR GRANDON,0.898794951727492,796.1746215820312
651,1109,729.0,-0.14229068458931268,14.818651720335906,45.3225,-75.6692,OTTAWA MACDONALD-CARTIER INT'L A,1.0133542241550797,834.3533935546875
651,1114,766.0,-0.14093876294364713,15.044549154525475,45.2628,-75.3595,RUSSELL,1.049457455316204,846.5404663085938
651,1121,788.0,-0.15509703413979337,15.333313656471164,45.17,-74.9708,AVONMORE,1.0814000693573533,845.1301879882812
652,1034,717.0,-0.1239195276157593,11.479777089352243,46.1425,-80.307,MONETVILLE,1.028537045279766,808.5055541992188
652,1038,702.0,-0.08994701104883951,11.678257300447983,46.1333,-80.0167,FRENCH R CHAUDIERE DAM,1.0109030215382808,805.3995971679688
652,1100,582.0,-0.10813293545524913,14.398485438967267,45.4667,-76.2333,CHATS FALLS,0.8396703580866204,803.8924560546875
652,1108,725.0,-0.0926557441963778,14.770203286375427,45.3833,-75.7167,OTTAWA CDA,1.0114938017533672,831.301513671875
652,1134,810.0,-0.11059958944123897,15.91164378309388,45.05,-74.1667,HUNTINGDON,1.0785161267506123,871.0481567382812
653,1014,645.0,-0.06585166318362673,10.57808375459096,46.3833,-81.5667,TURBINE,0.9810989255333693,762.4839477539062
653,1092,633.0,-0.07706357697969418,14.063784453303173,45.5833,-76.6833,CHENAUX,0.9600466749941071,764.7071533203125
653,1119,873.0,-0.0604863936540115,15.238149298815271,45.2872,-75.0636,ST. ALBERT,1.2002003418366967,843.614990234375
653,1128,722.0,-0.07216402157873898,15.630422831696166,45.1667,-74.5333,GLEN GORDON,0.9893547751441695,846.3869018554688
653,1131,804.0,-0.06763698819223248,15.76386408140092,45.1333,-74.35,ST ANICET,1.0971926321137477,849.8787231445312
654,1095,667.0,-0.005795683190460074,14.201635678814915,45.6167,-76.4667,SHAWVILLE,0.9940924389661758,778.1849975585938
654,1102,749.0,-0.010141822987990141,14.504972791199682,45.5333,-76.05,LUSKVILLE,1.0703309801647884,811.6102294921875
654,1135,783.0,-0.02306995179155099,15.971452536902286,45.1167,-74.05,ORMSTOWN,1.0517516527077333,863.4403686523438
654,1141,762.0,-0.002819591108613995,16.211153361252567,45.0667,-73.7167,HEMMINGFORD FOUR WINDS,0.9904697433219202,892.2725830078125
655,1050,742.0,0.0108004267438218,12.200271604969695,46.1167,-79.25,POWASSAN,1.108783969231778,776.1412353515625
655,1106,782.0,0.023408393646965037,14.689533459485038,45.5167,-75.7833,CHELSEA,1.0971895312551994,826.6256713867188
656,1104,760.0,0.08195977352268988,14.588600976666568,45.6,-75.9,WAKEFIELD,1.0717642854076939,822.4284057617188
656,1128,807.0,0.0849726979880299,15.633090253915883,45.3167,-74.4667,DALHOUSIE MILLS,1.10665722798906,845.7542724609375
656,1146,823.0,0.08212766041682308,16.43136179542141,45.0833,-73.3833,ST BERNARD DE LACOLLE,1.0288759941479804,927.7278442382812
657,1024,619.0,0.13122036052074418,11.041922279241216,46.4833,-80.85,CONISTON STP,0.9203705410980542,780.03076171875
657,1110,781.0,0.09932157620079315,14.83803900373631,45.55,-75.55,ANGERS,1.0722366617539585,844.7810668945312
657,1134,757.0,0.12639370122986404,15.889859305178064,45.2833,-74.1,VALLEYFIELD,1.0227000166008393,858.482421875
657,1138,797.0,0.11337791584524394,16.077591989134834,45.2167,-73.85,STE MARTINE,1.05371657464669,877.23974609375
657,1141,781.0,0.09970703767826301,16.204535378802806,45.1667,-73.6833,STE CLOTHILDE CDA,1.015868688304342,891.6558227539062
657,1151,875.0,0.09735313190136174,16.648563684979216,45.0333,-73.0833,PHILIPSBURG,1.0458121061965444,970.371826171875
658,1079,631.0,0.17855996765314416,13.45697987749162,45.9833,-77.4333,PETAWAWA NAT FORESTRY,0.9940281400260147,736.2316284179688
658,1108,739.0,0.1349063531828234,14.779613514026273,45.6,-75.6167,PERKINS,1.0196434826052558,840.5816040039062
658,1132,786.0,0.1449521540605815,15.835340398054557,45.3167,-74.1667,COTEAU DU LAC,1.069482325620094,852.3789672851562
658,1134,763.0,0.15249205653689513,15.918756455961613,45.3,-74.05,LES CEDRES,1.0293999694862348,859.6549682617188
659,1081,668.0,0.19407473605052883,13.584505642712083,45.9667,-77.25,SHEENBORO,1.0454694665394502,741.0523681640625
659,1087,712.0,0.20388898894959134,13.82140901489912,45.9167,-76.9167,WALTHAM,1.0839699819299045,761.8097534179688
659,1157,1026.0,0.2143332821945056,16.907970562019244,45.0667,-72.6833,SUTTON,1.1495943006237899,1035.110107421875
660,1039,670.0,0.24167388444506813,11.710957426397062,46.45,-79.8667,CRYSTAL FALLS,0.9951305556286524,780.86962890625
660,1046,761.0,0.2247059616752298,12.02855117692835,46.3636,-79.4228,NORTH BAY A,1.1450388294778875,770.8115844726562
660,1079,662.0,0.2546265558096915,13.485297134232503,46.05,-77.3667,CHALK RIVER AECL,1.0287806073645454,746.3095703125
660,1095,780.0,0.22558931320200246,14.16377566524178,45.85,-76.4333,OTTER LAKE,1.139622094552205,793.811767578125
660,1141,802.0,0.2283644204318483,16.22655884926908,45.2833,-73.6,ST REMI,1.0407776838209322,893.7173461914062
660,1148,850.0,0.2478536721012904,16.515278173256952,45.2167,-73.2,SABREVOIS,1.0404365024870774,947.5172729492188
661,1024,656.0,0.27785930544065024,11.04782465123829,46.6256,-80.7978,SUDBURY A,0.980439234949464,776.0093383789062
661,1128,807.0,0.2806495088143387,15.648523738310713,45.5,-74.3667,RIGAUD,1.0948640523838709,854.8641967773438
661,1166,843.0,0.2932856402850682,17.315574355214167,45.0167,-72.1,STANSTEAD,0.8941572663117,1093.4462890625
662,1073,689.0,0.3432681606598265,13.224513500547225,46.2,-77.7,RAPIDE DES JOACHIMS,1.0750685977868273,743.3046264648438
662,1121,779.0,0.33932389965887066,15.315281294240158,45.65,-74.8,POINTE AU CHENE,1.0362233461643318,871.9024047851562
662,1133,827.0,0.34068495857699327,15.85004677117141,45.5,-74.0667,OKA,1.1152656730006587,860.0247802734375
662,1146,856.0,0.34872560816845866,16.447024680651992,45.3333,-73.25,IBERVILLE,1.064904709271711,932.2809448242188
662,1158,1005.0,0.35043721364910185,16.950859185149188,45.1833,-72.5667,BROME,1.117410861304453,1043.12646484375
663,1118,924.0,0.361483120581601,15.211915468380836,45.7,-74.9333,MONTEBELLO (SEDBERGH),1.2201656663004348,878.2880249023438
663,1136,780.0,0.3845159255402604,15.995474941061378,45.5,-73.85,STE GENEVIEVE,1.03487530199002,874.1588745117188
663,1138,773.0,0.3730154780297401,16.072237754624673,45.4667,-73.75,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,1.015549264614907,882.7999267578125
663,1143,758.0,0.35838025065641466,16.309195659290722,45.3833,-73.4333,LAPRAIRIE,0.9686091372108001,907.6207885742188
663,1152,902.0,0.3905380912778866,16.691842997635554,45.3,-72.9,FARNHAM,1.0618190920529973,985.2349243164062
663,1163,938.0,0.3750065977850023,17.189960041690064,45.1333,-72.2333,GEORGEVILLE,1.0042737413456717,1083.2645263671875
664,1128,907.0,0.43111426674639375,15.628350571746576,45.65,-74.3333,LACHUTE,1.2119862918481912,867.9473266601562
