ilocy,ilocx,TwJul2.5 (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals
700,759,297.75,2.002533166016492,-0.6691504847160616,49.4981,-98.0297,CARMAN U OF M CS,0.995403124729522,302.5064697265625
701,1273,295.65,2.0477520185861904,22.08183244528817,44.9833,-64.9167,GREENWOOD A,1.0071896258128896,296.85784912109375
702,1007,294.34999999999997,2.1028662985791216,10.272256140147682,48.5697,-81.3767,TIMMINS VICTOR POWER A,1.000354707018806,297.5718994140625
702,1043,294.25,2.11790965152228,11.861579221272638,48.2458,-79.0342,ROUYN,1.0020436394622456,296.96942138671875
702,1046,294.75,2.120200427078108,11.998605728555281,48.2167,-78.8333,ROUYN A,1.0038649820600452,296.934326171875
702,1256,292.84999999999997,2.0923818993230565,21.32172942210499,45.3181,-65.8856,SAINT JOHN A,0.9986770239949292,296.5528259277344
702,1296,293.79999999999995,2.122484163256329,23.07411296225073,44.6561,-63.5928,HALIFAX DOCKYARD COMPOSITE,1.0033863595184274,296.11846923828125
702,1297,293.075,2.105532323946771,23.136471694656038,44.615275,-63.522475,MCNABS ISLAND (AUT),1.000882384493108,296.1267395019531
703,1062,294.34999999999997,2.1295758090215102,12.715646487269279,48.0564,-77.7867,VAL-D'OR A,1.0018087977156516,297.1399841308594
703,1164,295.95,2.142892402870948,17.22771444423007,46.8,-71.3833,QUEBEC/JEAN LESAGE INTL A,1.0082235540153954,296.8543395996094
703,1165,295.54999999999995,2.14518437871605,17.296210159902433,46.7803,-71.2875,STE-FOY (U. LAVAL),1.0067728850092281,296.8802795410156
703,1295,294.34999999999997,2.1577805300456205,23.02618850835154,44.7078,-63.6342,BEDFORD BASIN,1.0049384825999061,296.214599609375
705,1166,296.65,2.2186124972632277,17.336633694257245,46.8369,-71.1972,BEAUPORT,1.011044187722916,296.7263488769531
705,1279,295.84999999999997,2.245163530071908,22.330642996726787,45.0667,-64.4833,KENTVILLE CDA CS,1.0069337420352722,297.1341552734375
707,813,294.84999999999997,2.3191516259454263,1.7019727769211224,49.7903,-94.3653,KENORA A,0.9944063635224608,299.86041259765625
708,576,291.95,2.3773939182474364,-8.775282388866069,49.1167,-110.46700000000001,ONEFOUR CDA,0.9846188557000316,299.862548828125
708,675,295.84999999999997,2.392352772509108,-4.39599211308612,49.7,-103.8,WEYBURN,0.9929304185089816,301.32464599609375
708,773,296.34999999999997,2.3883694702034233,-0.08344225224319311,49.8883,-97.1294,WINNIPEG THE FORKS,0.9903970893250397,302.60595703125
708,1295,294.45,2.353824406162802,23.043207937173968,44.88,-63.5,HALIFAX STANFIELD INT'L A,1.0044681511967044,296.4539794921875
709,740,297.04999999999995,2.4288455569653005,-1.5193890618839296,49.9058,-99.3574,CARBERRY CS,0.9945614507205077,302.0506896972656
709,756,295.95,2.4082966955206366,-0.8221754174048094,49.90155,-98.2754,PORTAGE SOUTHPORT A COMPOSITE,0.9898847842460577,302.3539123535156
709,771,296.25,2.4169256900823712,-0.15035553299554535,49.9167,-97.2333,WINNIPEG RICHARDSON INT'L A,0.9900252499622899,302.6174621582031
709,837,294.95,2.406896172300354,2.746089377611967,49.8317,-92.7442,DRYDEN A (AUT),0.9965988134147523,299.3022155761719
709,1139,294.97999999999996,2.4266194219063992,16.12848954456477,47.4111,-72.7875,LA TUQUE,1.009403749360567,295.5354309082031
709,1242,295.15,2.4355673986902304,20.695842322706284,45.8721,-66.5279,FREDERICTON A,1.0054412123391052,296.87115478515625
710,732,295.34999999999997,2.4461289022730366,-1.9022360052764455,49.91,-99.9519,BRANDON A,0.9912765158846344,301.3172912597656
710,1241,295.45,2.4592027999967008,20.625475230667618,45.9203,-66.6089,FREDERICTON CDA CS,1.0062615686657068,296.9306335449219
711,1240,296.45,2.488051035602571,20.57950507371926,45.9642,-66.6547,FREDERICTON AQUATIC CENTRE C/S,1.0095499750447638,296.9651794433594
712,559,291.95,2.53608277470264,-9.53527615286293,49.1367,-111.652,MASINASIN AGDM,0.9823969913185978,300.5407409667969
712,599,291.65,2.537436513099903,-7.770754446701081,49.4378,-108.98899999999999,EASTEND CYPRESS (AUT),0.9811628420372571,300.60955810546875
712,644,294.15,2.5616572968723665,-5.774769190126448,49.7292,-105.946,ASSINIBOIA AIRPORT,0.9890164495501197,300.77880859375
712,1109,294.04999999999995,2.554484863956163,14.795047971056874,47.9222,-74.6242,PARENT,1.0066386948045742,295.41290283203125
712,1171,296.185,2.5392780243252058,17.527497992979473,47.0786,-70.7808,CAP-TOURMENTE,1.0108893410157531,296.3066101074219
712,1355,292.15,2.558199415687226,25.705259485464225,43.9322,-60.0094,SABLE ISLAND,0.9997835655740015,295.51654052734375
713,553,291.34999999999997,2.5820012344151984,-9.791876818087163,49.1333,-112.05,MILK RIVER,0.9822801190829641,299.9587707519531
713,1268,293.65,2.605983214039064,21.81846865676879,45.6,-64.95,FUNDY PARK (ALMA) CS,1.0028948539730298,296.1123352050781
713,1278,293.84999999999997,2.601610143838706,22.28150390075132,45.4133,-64.3461,PARRSBORO,1.0012639518129838,296.7966613769531
714,1313,290.84999999999997,2.6382692426494847,23.823232593596096,44.8167,-62.3333,BEAVER ISLAND (AUT),0.9939808456935415,295.9190673828125
715,754,296.84999999999997,2.69047932872118,-0.8860081616431726,50.1826,-98.3822,DELTA MARSH CS,0.9928932736706111,302.3544616699219
715,788,295.95,2.6808083374383638,0.5996210592201111,50.1772,-96.0647,PINAWA,0.9928335627580971,301.4559020996094
715,921,293.65,2.703334463357099,6.489334819136607,49.7828,-86.9306,GERALDTON A,0.9976962065732247,297.6552734375
715,1163,292.34999999999997,2.6894220377912768,17.21183514335496,47.3228,-71.1483,FORET MONTMORENCY RCS,1.0023015072965031,294.9759521484375
716,848,294.45,2.724053173483273,3.2714077284853,50.1167,-91.9,SIOUX LOOKOUT A,0.9968283213809894,298.7260437011719
716,1309,294.65,2.745014568619623,23.65676532780182,44.9833,-62.4833,MALAY FALLS,1.0069820009669472,295.9147644042969
717,592,290.84999999999997,2.791091450100094,-8.07580326635713,49.6406,-109.514,CYPRESS HILLS PARK,0.9795938618392545,300.26513671875
717,987,294.25,2.791706214675361,9.415332080574757,49.41015,-82.45555,KAPUSKASING A COMPOSITE,0.9995192383700948,297.7194519042969
717,1171,292.745,2.765421761788179,17.55235818730697,47.2842,-70.6375,CHARLEVOIX (MRC),1.0003602454900962,295.94769287109375
718,528,290.54999999999995,2.812988203747359,-10.92062877066302,49.1311,-113.809,WATERTON PARK GATE,0.9949158403610424,295.3360290527344
718,536,292.15,2.8090390132346363,-10.571265786085739,49.2006,-113.286,CARDSTON,0.9922049470164772,297.77374267578125
719,563,292.04999999999995,2.856562528174021,-9.3643909618418,49.4833,-111.486,FOREMOST AGDM,0.982531854167222,300.6024169921875
719,1291,295.04999999999995,2.853505215275901,22.845728161553936,45.4167,-63.4667,DEBERT,1.0052955639137555,296.8135681152344
720,1161,292.04999999999995,2.8986000488602337,17.08311893214299,47.5622,-71.2289,L'ETAPE,1.0017235883661373,294.84326171875
721,663,296.25,2.945106706519208,-4.933570788281222,50.2003,-104.711,BRATT'S LAKE,0.9960050959478978,300.80059814453125
721,961,294.75,2.9296590159790448,8.264570518409494,49.7468,-84.1637,NAGAGAMI (AUT),1.0025852102226158,297.3133544921875
721,1179,295.54999999999995,2.968983998361158,17.9164480090112,47.3558,-70.0319,LA POCATIERE,1.0085022780826216,296.3711853027344
722,546,292.45,3.00596508323408,-10.128550772239674,49.4833,-112.68299999999999,RAYMOND AGDM,0.988879106707081,299.08203125
722,694,294.25,2.995535908365118,-3.5550168868492085,50.3681,-102.571,BROADVIEW,0.9896666709337364,300.6833801269531
722,723,295.75,3.008132497519388,-2.2962437089641146,50.4549,-100.603,SHOAL LAKE CS,0.9965207074756568,300.1375427246094
722,760,297.15,3.003904372048266,-0.6603151832297092,50.4995,-98.0367,OAKPOINT MARINE,0.9939299090184887,302.3443603515625
723,594,293.15,3.044682502865987,-8.003292419347964,49.9025,-109.46600000000001,MAPLE CREEK,0.9859221532141527,300.6970520019531
723,789,295.25,3.0264850883257903,0.6511626422645601,50.5222,-95.9772,GREAT FALLS CLIMATE,0.9934398909484825,300.559326171875
723,1275,293.75,3.02423352412272,22.158151946180364,45.85,-64.2667,AMHERST (AUT),1.000431607904658,296.9425048828125
724,564,294.04999999999995,3.098854685759743,-9.295091002394907,49.7342,-111.45,BOW ISLAND,0.9888533920877559,300.72613525390625
724,891,294.25,3.0628319237385395,5.168523459661336,50.2936,-88.9053,ARMSTRONG (AUT),0.9978264764692919,298.2245178222656
725,541,292.65,3.1357359907382967,-10.345348538815898,49.5667,-113.05,BLOOD TRIBE AGDM,0.990922099030904,298.6695251464844
725,651,293.95,3.1327570583551307,-5.455457263620255,50.3325,-105.5525,MOOSE JAW A COMPOSITE,0.9887492865251716,300.655517578125
725,774,295.75,3.1325677559043306,-0.010354418235689253,50.63256667,-97.0163,GIMLI COMPOSITE,0.9905735838443228,301.9394836425781
725,1267,295.04999999999995,3.143485364303546,21.790230230835956,46.1053,-64.6838,MONCTON A,1.005388391384681,296.7861633300781
726,489,294.45,3.170292165436488,-12.649333957750157,49.0817,-116.501,CRESTON CAMPBELL SCIENTIFIC,1.0114176753757627,294.4170227050781
726,545,292.25,3.16518878430455,-10.173529005346774,49.6303,-112.8,LETHBRIDGE A,0.9877898912831973,299.2070617675781
726,664,294.75,3.1741915710209807,-4.882522538616095,50.4333,-104.667,REGINA COMPOSITE,0.9915774023845899,300.6139221191406
726,732,294.45,3.190349735680813,-1.8675357401014678,50.655,-99.9419,WASAGAMING,0.9942152783769401,299.51116943359375
726,829,294.54999999999995,3.188937835040126,2.3995117841802442,50.6306,-93.2214,EAR FALLS (AUT),0.9978784180098841,298.5130310058594
727,527,290.95,3.2197105976804745,-10.956741179292218,49.5206,-113.99700000000001,PINCHER CREEK (AUT),0.9957857732745828,295.4842529296875
727,545,292.65,3.2242799425895714,-10.139555795803165,49.695,-112.76700000000001,LETHBRIDGE CDA,0.9890695396474897,299.22894287109375
727,556,292.54999999999995,3.2342346610466,-9.653124284583603,49.8,-112.03299999999999,FINCASTLE AGDM,0.9837322114319994,300.7496337890625
727,566,293.25,3.221146255468036,-9.228122352966734,49.8667,-111.383,BOW ISLAND IRRIGATION AGDM,0.985946276228841,300.7922668457031
727,573,292.84999999999997,3.2161300997674656,-8.923334960260773,49.9167,-110.917,SEVEN PERSONS AGDM,0.9857720834613578,300.43505859375
727,679,295.65,3.2308577774768055,-4.226503991244114,50.55,-103.65,INDIAN HEAD CDA,0.9952988621130598,300.4043884277344
727,781,296.75,3.2007662956617806,0.2748711630557643,50.7,-96.5667,VICTORIA BEACH (AUT),0.9972470167946222,300.93304443359375
728,553,293.15,3.267530353212105,-9.822486970496383,49.8,-112.3,BARNWELL AGDM,0.9875724101939468,300.194580078125
728,620,293.84999999999997,3.239737027524128,-6.847848201400332,50.2667,-107.73299999999999,SWIFT CURRENT CDA,0.9892120709494115,300.4126281738281
728,621,292.95,3.2683382675249013,-6.811573228356857,50.3,-107.68299999999999,SWIFT CURRENT A,0.9861223196600304,300.430908203125
728,738,296.04999999999995,3.238015104367025,-1.604296915523847,50.7119,-99.53,MCCREARY,0.9963935114039512,300.4803466796875
729,530,291.54999999999995,3.2884978068758692,-10.821872555980061,49.6167,-113.81700000000001,BROCKET AGDM,0.9953641508154272,296.2190246582031
729,576,292.54999999999995,3.2973173390410704,-8.779173353024989,50.022,-110.719,MEDICINE HAT A COMPOSITE,0.9847401373630917,300.4418029785156
729,1213,294.65,3.3020657185607187,19.387549788287743,47.1578,-67.8319,ST LEONARD COMPOSITE,1.0063096082048362,296.11248779296875
731,471,292.04999999999995,3.4054207760822335,-13.42696425884179,49.1119,-117.73899999999999,WARFIELD RCS,1.0020514369930411,294.7467956542969
731,521,290.65,3.392853431562612,-11.240696431515284,49.6275,-114.48200000000001,CROWSNEST,0.9993091680796372,294.1388244628906
731,1299,294.95,3.3983083590013163,23.20151034990656,45.7667,-62.6833,CARIBOU POINT (AUT),1.00683736066348,296.25860595703125
732,547,293.25,3.420719141938451,-10.076854080447603,49.9,-112.73299999999999,IRON SPRINGS AGDM,0.9899975239592531,299.5613708496094
732,1203,294.75,3.424540786966939,18.982279408560863,47.4167,-68.3245,EDMUNDSTON,1.0078381452741836,295.76373291015625
732,1263,295.45,3.419170347604767,21.608220895106566,46.4303,-64.7681,BUCTOUCHE CDA CS,1.0063456564254405,296.90582275390625
733,556,293.84999999999997,3.4919469342595337,-9.668283227416524,50.05,-112.133,VAUXHALL CDA CS,0.9898230230982905,300.2272033691406
734,586,292.45,3.5091253913682428,-8.33325931119791,50.3069,-110.09100000000001,SCHULER AGDM,0.9811639061726714,301.4338073730469
734,1183,294.34999999999997,3.5026325469840005,18.071611554798213,47.8058,-69.5486,RIVIERE-DU-LOUP,1.003906171054353,296.5191955566406
734,1327,292.75,3.527571178938827,24.45827343914825,45.35,-60.9833,HART ISLAND (AUT),1.0018191695369998,295.5217590332031
735,502,290.65,3.5715594149337595,-12.06538588634602,49.6122,-115.78200000000001,CRANBROOK A,1.002143101052364,293.3070373535156
735,515,289.72249999999997,3.5657101082291334,-11.468205566868376,49.745,-114.884,SPARWOOD CS,1.0004678434367742,292.8606262207031
735,767,295.25,3.584645139984343,-0.3490100752920779,51.0834,-97.5545,FISHER BRANCH (AUT),0.9907526428745073,301.3745422363281
735,1139,294.65,3.5858890255644726,16.122340479606144,48.5167,-72.2667,ROBERVAL A,1.007199509156437,295.8508605957031
736,446,294.25,3.6280316709637113,-14.524794319905412,49.0283,-119.441,OSOYOOS CS,1.0071181993783165,295.47308349609375
736,1157,294.15,3.6254941753179493,16.906447140250897,48.3072,-71.1292,LATERRIERE,1.0087252337956865,294.902099609375
736,1281,294.65,3.631858308369431,22.414812996378107,46.3028,-63.5756,MAPLE PLAINS,1.0046689860143088,296.5960388183594
737,534,291.75,3.6421323328406863,-10.62702051987502,50.0036,-113.639,CLARESHOLM,0.9934105566616928,297.0051574707031
737,552,293.45,3.6601523349675427,-9.83133103464756,50.1833,-112.43299999999999,ENCHANT AGDM,0.9892098645655265,300.0043640136719
737,731,295.45,3.637650982133446,-1.9186062210436028,51.1,-100.05,DAUPHIN A,0.9956581789794127,300.09283447265625
737,1158,294.15,3.677953743438618,16.97946760951628,48.3333,-71.0,BAGOTVILLE A,1.0088144923046305,294.8760070800781
737,1160,294.75,3.662019493356082,17.041652278761006,48.2981,-70.9195,LA BAIE,1.0115019174690372,294.69244384765625
