ilocy,ilocx,mean RH (%),rlat,rlon,lat,lon,station_name,ratio,model_vals
552,1011,75.0,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA AUTO,1.025960481348093,81.40203377422523
558,1009,71.0,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,0.9648321189059849,81.94287947541207
560,1026,76.0,-4.166609944802487,11.147744256566659,42.2501,-81.9001,ERIEAU (AUT),1.0374659392152046,81.57261215513756
565,1026,79.0,-3.96806270606981,11.12134986160888,42.45,-81.8833,RIDGETOWN RCS,1.0729679294130163,81.98699612768591
576,1017,75.0,-3.4904329491985364,10.714451499966426,42.9961,-82.30235,SARNIA AIRPORT COMPOSITE,1.0178326129749713,82.05206699912601
579,1046,77.0,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CS,1.0380402202194936,82.60021330935209
580,1035,75.0,-3.2901926502243564,11.534742416339043,43.0332,-81.15055,LONDON CS COMPOSITE,1.0027620143685365,83.28523473868266
587,1054,75.0,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,1.006962535391655,82.93781230027078
590,1054,75.0,-2.847748537093577,12.367862378820393,43.2917,-79.9083,HAMILTON RBG CS,1.0080117575287102,82.85148375497907
590,1063,72.0,-2.87199134716758,12.753426345960174,43.1833,-79.4,VINELAND STATION RCS,0.9810231737390639,81.72555053719279
591,1056,69.0,-2.8224940050071763,12.44308227059991,43.3,-79.8,BURLINGTON PIERS (AUT),0.9286257565236741,82.73951872824414
591,1066,71.0,-2.817509219258394,12.915619247015943,43.2,-79.1667,ST CATHARINES A,0.9671834258308163,81.74366921724861
592,1046,76.0,-2.767016061611644,11.996249233882299,43.45,-80.3833,WATERLOO WELLINGTON A,1.0138027104852174,83.47660329618088
592,1065,76.0,-2.777024958427152,12.868782847614893,43.25,-79.2167,PORT WELLER (AUT),1.0384419859592036,81.49594086914371
595,1023,79.0,-2.652732378466715,10.985487811987579,43.7667,-81.7167,GODERICH,1.0606714783215665,82.93747807108113
596,1044,80.0,-2.5766172477994584,11.930342238677156,43.65,-80.4167,ELORA RCS,1.0622860693577467,83.85966546452487
599,1061,72.0,-2.4371144169958994,12.657472533066505,43.6286,-79.395,TORONTO ISLAND A,0.9775194460015723,82.0184798282163
