ilocy,ilocx,Q50_Gumbel-MM,rlat,rlon,lat,lon,station_name,ratio,model_vals
558,1009,0.35100000000000003,-4.286303317504344,10.373533646905495,42.27611111,-82.95527778,WINDSOR A,0.8585420686729933,0.3624149893864874
576,1016,0.384,-3.48804380801358,10.70911725486623,42.99944444,-82.30888889,SARNIA,0.898521366152969,0.3788466325779224
579,1050,0.39399999999999996,-3.3353689590638744,12.206823049227507,42.85,-80.26666667,SIMCOE,0.7417467725192,0.47087016331564724
580,1035,0.35100000000000003,-3.2904168437142984,11.534369212852347,43.03305556,-81.15111111,LONDON A,0.7193100562743374,0.4325652227324165
587,1054,0.441,-2.9672462089752716,12.374482460573976,43.17361111,-79.935,HAMILTON A,0.9202100489098627,0.424827120293378
591,1056,0.231,-2.8224940050071763,12.44308227059991,43.3,-79.8,BURLINGTON PIERS (AUT),0.5210866690072938,0.39297292811739526
591,1066,0.377,-2.8263537576593833,12.914368822069164,43.19166667,-79.17111111,ST CATHARINES A,0.831105952128599,0.4021106478378745
592,1046,0.275,-2.755708330772456,11.997290400172446,43.46083333,-80.37861111,KITCHENER-WATERLOO,0.5874361784189094,0.41498521080659345
592,1065,0.408,-2.7770194854473744,12.868806527061649,43.25,-79.21666667,PORT WELLER (AUT),0.87950578459215,0.41122743285961866
595,1023,0.245,-2.65276038889117,10.985517938364806,43.76666667,-81.71666667,GODERICH,0.5536911267300291,0.3922465535494774
599,1060,0.397,-2.4383661704221993,12.656933578522423,43.6275,-79.39611111,TORONTO CITY CENTRE,0.9517614520779744,0.36976262503718105
600,1057,0.358,-2.4280374478097446,12.48046411804727,43.67666667,-79.63055556,TORONTO INTL A,0.9177607605452544,0.34579137546854133
603,1037,0.373,-2.3007719587955977,11.625339745869262,43.98333333,-80.75,MOUNT FOREST (AUT),0.8988783971956261,0.3678480891792334
605,1060,0.26899999999999996,-2.2064892992981635,12.624161363112355,43.86083333,-79.36861111,TORONTO BUTTONVILLE A,0.7317267428224794,0.32588469759575256
611,1078,0.35600000000000004,-1.9198477837726322,13.446705882854868,43.95,-78.16666667,COBOURG (AUT),0.818617914123495,0.3855044267729885
613,1095,0.583,-1.8539753644643515,14.186065075654536,43.83333333,-77.15,POINT PETRE (AUT),1.1279613631983452,0.45817875389646195
616,1043,0.256,-1.7154646708868815,11.890724603560995,44.5,-80.21666667,COLLINGWOOD,0.8172542539578976,0.2776792266852311
617,1074,0.23800000000000002,-1.681286926386074,13.24303297256795,44.23,-78.36333333,PETERBOROUGH,0.7215936708807872,0.2923781120464037
617,1087,0.415,-1.6479580998039793,13.848365534890087,44.11666667,-77.53333333,TRENTON A,1.1539802083114692,0.31879415640527375
618,1028,0.335,-1.608330023712921,11.218755263733659,44.74416667,-81.10861111,WIARTON A,0.8555988674883482,0.3470845017595289
620,1059,0.327,-1.5131617290709791,12.576278873912775,44.54722222,-79.21666667,LAGOON CITY,1.4130184102844705,0.2051448165710525
623,1101,0.369,-1.376287929563316,14.47009238904273,44.22333333,-76.59944444,KINGSTON CLIMATE,1.3759392464611893,0.23773204350028565
629,1055,0.185,-1.1104223325675606,12.42021185602272,44.97472222,-79.30333333,MUSKOKA,1.2355887064747362,0.13272673587884903
637,1077,0.09300000000000001,-0.7819711108327801,13.376973995423196,45.07138889,-77.87888889,BANCROFT AUTO,0.9086146383145725,0.09073270006406026
639,1000,0.353,-0.690069370908283,9.992653603870442,45.88166667,-82.56722222,GORE BAY-MANITOULIN,0.9345101835829059,0.3348507552009307
647,968,0.375,-0.3265597809046357,8.564149867880838,46.485,-84.50972222,SAULT STE MARIE A,1.574083624870742,0.21118549330561848
651,1109,0.282,-0.14743254423379257,14.821932295193472,45.31666667,-75.66666667,OTTAWA INTL A,1.6144271702552833,0.1548428891537326
653,1132,0.221,-0.06744339856063078,15.80836957099062,45.12083333,-74.28944444,ST-ANICET 1,1.1022649709729255,0.17773251371783355
657,1141,0.207,0.10111418445683244,16.207357598047103,45.16722222,-73.67888889,STE-CLOTHILDE,1.122830635264487,0.16342432798234496
658,1081,0.19899999999999998,0.16637183265387717,13.543770494311032,45.95,-77.31666667,PETAWAWA A,1.7325361375490396,0.10181960084062745
658,1154,0.13699999999999998,0.146891087188546,16.805817882306044,45.03333333,-72.85,FRELIGHSBURG,0.956821961473644,0.1269258404968273
660,1046,0.226,0.2247776229261326,12.027567413504922,46.36388889,-79.42416667,NORTH BAY A,2.102277635729686,0.09529694636593407
661,1024,0.34,0.27781895532178186,11.047848727345684,46.62555556,-80.79777778,SUDBURY A,1.753685831685516,0.17186511757515358
661,1135,0.18100000000000002,0.298783997656161,15.963386826741665,45.42722222,-73.92916667,STE-ANNE-DE-BELLEVUE 1,0.7793082889905719,0.20588745961825752
661,1145,0.248,0.29036027254180596,16.391913068259413,45.29388889,-73.34944444,L'ACADIE,1.207632027262848,0.18204454688374355
663,1138,0.365,0.37857540410213814,16.077265709536555,45.47055556,-73.74083333,MONTREAL INTL A,1.4159388214070325,0.22851198927683655
664,1140,0.06,0.4443774501594452,16.175677570505083,45.50474167,-73.57916667,MCTAVISH,0.21828316592820726,0.24366414178321524
666,1132,0.233,0.5192700488528611,15.816969557831044,45.68055556,-74.03861111,MONTREAL MIRABEL INTL A,0.9497978202019934,0.21746299658650595
666,1142,0.419,0.48999635800437125,16.28058561419673,45.5175,-73.41694444,MONTREAL-ST-HUBERT,1.4670394906240918,0.2531820045815327
668,1049,0.102,0.611689446314243,12.166437121629148,46.70972222,-79.10111111,BARRAGE TEMISCAMINGUE,0.9567441128679568,0.09450722014344151
